iid	sex	pop	pc1e	pc2e	pc1	pc2
ABA-035.HO	M	Karachai.HO	0.014852604625625699	0.053639702692719594	0.014852604625625699	0.053639702692719594
ABA-048.HO	M	Karachai.HO	0.010207089151413551	0.04587263585879896	0.010207089151413551	0.04587263585879896
ABA-052.HO	M	Karachai.HO	0.012712665241643622	0.04764583512366856	0.012712665241643622	0.04764583512366856
ABA-056.HO	M	Karachai.HO	0.011672331916313566	0.049979086384571686	0.011672331916313566	0.049979086384571686
ABA-065.HO	M	Karachai.HO	0.011175045030721028	0.050254715358466824	0.011175045030721028	0.050254715358466824
ABA-069.HO	M	Karachai.HO	0.012868414821429683	0.04440089117108682	0.012868414821429683	0.04440089117108682
ABA-078.HO	M	Karachai.HO	0.013014232753694	0.05575541220707777	0.013014232753694	0.05575541220707777
ABA-085.HO	M	Karachai.HO	0.013439248591515754	0.04655461865784786	0.013439248591515754	0.04655461865784786
ABA-086.HO	M	Karachai.HO	0.011113234496982162	0.050213214927430916	0.011113234496982162	0.050213214927430916
ABA-091.HO	M	Karachai.HO	0.014628697899622905	0.048848434522556515	0.014628697899622905	0.048848434522556515
ABA-099.HO	M	Karachai.HO	0.01278448216115053	0.05408558895328192	0.01278448216115053	0.05408558895328192
ABA-100.HO	M	Karachai.HO	0.01012206554932015	0.05131554033687408	0.01012206554932015	0.05131554033687408
Adg-185.HO	F	Adygei.HO	0.01548117355545965	0.04528857782574133	0.01548117355545965	0.04528857782574133
Adg-192.HO	M	Adygei.HO	0.00939053009303895	0.044507868010063796	0.00939053009303895	0.044507868010063796
Adg-194.HO	M	Adygei.HO	0.009628922918281463	0.04163921563678849	0.009628922918281463	0.04163921563678849
Adg-222.HO	M	Adygei.HO	0.0026232150980732916	0.0328135331596129	0.0026232150980732916	0.0328135331596129
Adg-224.HO	M	Adygei.HO	0.012672968424192119	0.0442796298183793	0.012672968424192119	0.0442796298183793
Adg-226.HO	F	Adygei.HO	0.02130596976961421	0.04804064780972164	0.02130596976961421	0.04804064780972164
Adg-227.HO	F	Adygei.HO	0.018670425353159797	0.047938089642013564	0.018670425353159797	0.047938089642013564
Adg-238.HO	M	Adygei.HO	0.0100836815293278	0.044198640527253065	0.0100836815293278	0.044198640527253065
ARK-59.HO	M	Armenian_Hemsheni.HO	0.035180356886010136	0.027496323363681543	0.035180356886010136	0.027496323363681543
ARK-72.HO	M	Armenian_Hemsheni.HO	-0.009944736880584597	0.01740828950762392	-0.009944736880584597	0.01740828950762392
ARK-76.HO	M	Armenian_Hemsheni.HO	0.03108714924809444	0.028024973693758056	0.03108714924809444	0.028024973693758056
ARK-78.HO	M	Armenian_Hemsheni.HO	0.03652524970427621	0.024035659133857915	0.03652524970427621	0.024035659133857915
ARK-82.HO	M	Armenian_Hemsheni.HO	0.03739968925683516	0.026191034607624366	0.03739968925683516	0.026191034607624366
ARK-84.HO	M	Armenian_Hemsheni.HO	0.03205027247514621	0.02285495415264429	0.03205027247514621	0.02285495415264429
ARK-88.HO	M	Armenian_Hemsheni.HO	0.0351836605134075	0.0273040327765916	0.0351836605134075	0.0273040327765916
ARK-89.HO	M	Armenian_Hemsheni.HO	0.03326140737288343	0.029335477031098723	0.03326140737288343	0.029335477031098723
AZR-0853.HO	M	Azeri.HO	0.014931520335045615	0.039571260934011934	0.014931520335045615	0.039571260934011934
AZR-0860.HO	M	Azeri.HO	0.016170564645733326	0.0335449018923415	0.016170564645733326	0.0335449018923415
AZR-0864.HO	M	Azeri.HO	0.01925731503702397	0.03791595170686567	0.01925731503702397	0.03791595170686567
AZR-0865.HO	M	Azeri.HO	0.027027781909956892	0.031898941977938515	0.027027781909956892	0.031898941977938515
AZR-0866.HO	M	Azeri.HO	0.021745602179563558	0.03479117691550646	0.021745602179563558	0.03479117691550646
AZR-0868.HO	M	Azeri.HO	0.018458930325385807	0.037027084682117496	0.018458930325385807	0.037027084682117496
AZR-0869.HO	M	Azeri.HO	0.022043425405028825	0.04186465194008533	0.022043425405028825	0.04186465194008533
AZR-0870.HO	M	Azeri.HO	0.023133845922443486	0.03709370574549939	0.023133845922443486	0.03709370574549939
AZR-1010.HO	M	Azeri.HO	0.02994064415460056	0.0333142038541951	0.02994064415460056	0.0333142038541951
AZR-1012.HO	M	Azeri.HO	0.028208018773613775	0.031060842636779457	0.028208018773613775	0.031060842636779457
AZR-1013.HO	M	Azeri.HO	0.034445765584958585	0.032066777620782055	0.034445765584958585	0.032066777620782055
AZR-1017.HO	M	Azeri.HO	0.029035097267774024	0.03258173859085186	0.029035097267774024	0.03258173859085186
AZR-1018.HO	M	Azeri.HO	0.030438467903792153	0.02516147058516246	0.030438467903792153	0.02516147058516246
AZR-1037.HO	M	Azeri.HO	0.02796325703907821	0.031674162526253456	0.02796325703907821	0.031674162526253456
AZR-1039.HO	M	Azeri.HO	0.03017891777068526	0.029841215717024694	0.03017891777068526	0.029841215717024694
AZR-1054.HO	M	Azeri.HO	0.03181591449972082	0.025823199813429534	0.03181591449972082	0.025823199813429534
AZR-1058.HO	M	Azeri.HO	0.030762836763367947	0.0279714798859973	0.030762836763367947	0.0279714798859973
CHRK-544.HO	M	Circassian.HO	0.011648287532619454	0.041996758325855824	0.011648287532619454	0.041996758325855824
DAG-090.HO	M	Tabasaran.HO	0.008433768367700135	0.05171143575283806	0.008433768367700135	0.05171143575283806
DAG-122.HO	M	Tabasaran.HO	0.003991356651421143	0.05391564076125975	0.003991356651421143	0.05391564076125975
DAG-123.HO	M	Tabasaran.HO	0.007597528691555866	0.05476989022954168	0.007597528691555866	0.05476989022954168
DAG-124.HO	M	Tabasaran.HO	0.0038757770090681706	0.04895232350735031	0.0038757770090681706	0.04895232350735031
DAG-127.HO	M	Tabasaran.HO	0.006298325494197471	0.051110942546303745	0.006298325494197471	0.051110942546303745
DAG-146.HO	M	Darginian.HO	0.00034930370602334013	0.06152613474222821	0.00034930370602334013	0.06152613474222821
DAG-147.HO	M	Tabasaran.HO	0.005718744269373162	0.048536092293687855	0.005718744269373162	0.048536092293687855
DAG-152.HO	M	Tabasaran.HO	0.012335977591574537	0.04404956496998396	0.012335977591574537	0.04404956496998396
DAG-160.HO	M	Tabasaran.HO	0.01131027923911536	0.04940369591658078	0.01131027923911536	0.04940369591658078
DAG-161.HO	M	Darginian.HO	0.0019435880330627175	0.059732136831686634	0.0019435880330627175	0.059732136831686634
DAG-165.HO	M	Darginian.HO	-0.001462439994455053	0.061612794527375614	-0.001462439994455053	0.061612794527375614
DAG-178.HO	F	Tabasaran.HO	0.0007506965713673459	0.052945468504879994	0.0007506965713673459	0.052945468504879994
DAG-180.HO	M	Kubachinian.HO	0.006517032419766587	0.05819491903976962	0.006517032419766587	0.05819491903976962
DAG-183.HO	M	Tabasaran.HO	0.008576564032698365	0.0521548337525185	0.008576564032698365	0.0521548337525185
DAG-200.HO	M	Kubachinian.HO	0.0028389024023409257	0.05750707396962759	0.0028389024023409257	0.05750707396962759
DAG-205.HO	M	Kubachinian.HO	-0.00024295741428798095	0.06247685912252403	-0.00024295741428798095	0.06247685912252403
DAG-206.HO	M	Darginian.HO	0.0003664522489628506	0.05922784225204205	0.0003664522489628506	0.05922784225204205
DAG-210.HO	M	Kubachinian.HO	0.003961184956224039	0.05856395981099511	0.003961184956224039	0.05856395981099511
DAG-211.HO	M	Kubachinian.HO	-0.0008792396735318682	0.05741793957802889	-0.0008792396735318682	0.05741793957802889
DAG-213.HO	M	Kubachinian.HO	0.004837247565384661	0.058711493720618305	0.004837247565384661	0.058711493720618305
DAG-225.HO	M	Darginian.HO	-0.0011205054596117898	0.05898982105559464	-0.0011205054596117898	0.05898982105559464
DAG-231.HO	M	Darginian.HO	0.003285815677556842	0.05788801828366286	0.003285815677556842	0.05788801828366286
DAG-232.HO	M	Darginian.HO	0.0019441652314198378	0.05535523796624846	0.0019441652314198378	0.05535523796624846
DAG-325.HO	M	Lak.HO	0.0036360245584412037	0.05166461141866481	0.0036360245584412037	0.05166461141866481
DAG-335.HO	M	Lak.HO	0.0006944527560279464	0.0550354860818716	0.0006944527560279464	0.0550354860818716
DAG-336.HO	M	Lak.HO	0.0017037871923069054	0.06281729983924882	0.0017037871923069054	0.06281729983924882
DAG-344.HO	M	Lak.HO	0.002367147785023856	0.05361793299773071	0.002367147785023856	0.05361793299773071
DAG-350.HO	M	Darginian.HO	0.002725076895642458	0.059155259000801874	0.002725076895642458	0.059155259000801874
DAG-371.HO	M	Lak.HO	0.0037231017544472	0.05994414331066053	0.0037231017544472	0.05994414331066053
DAG-372.HO	M	Lak.HO	0.0037053991389992685	0.05137061012377167	0.0037053991389992685	0.05137061012377167
DAG-376.HO	M	Lak.HO	-0.0019113145916663174	0.05723674875389644	-0.0019113145916663174	0.05723674875389644
DAG-388.HO	M	Lak.HO	0.004236656360797425	0.055808628353056784	0.004236656360797425	0.055808628353056784
DAG-390.HO	M	Lak.HO	0.0008140863052939419	0.05170647606699263	0.0008140863052939419	0.05170647606699263
DAG-400.HO	M	Lak.HO	0.0007916987423891593	0.054280017926941745	0.0007916987423891593	0.054280017926941745
DAG-448.HO	M	Avar.HO	0.007766106443147276	0.05228053178200388	0.007766106443147276	0.05228053178200388
DAG-461.HO	M	Avar.HO	0.005116922414907788	0.053420010084460526	0.005116922414907788	0.053420010084460526
DAG-474.HO	M	Avar.HO	0.0012278220977644263	0.0528551754811932	0.0012278220977644263	0.0528551754811932
DAG-477.HO	M	Avar.HO	-0.0003372804188722309	0.055982981091160004	-0.0003372804188722309	0.055982981091160004
DAG-485.HO	M	Avar.HO	-0.0006787693793315831	0.05548649603546837	-0.0006787693793315831	0.05548649603546837
DAG-492.HO	M	Avar.HO	0.003475655907883828	0.05544147819875794	0.003475655907883828	0.05544147819875794
DAG-506.HO	M	Avar.HO	0.002094384492127996	0.05679171460028628	0.002094384492127996	0.05679171460028628
DAG-515.HO	M	Avar.HO	-0.00026623078629833564	0.05230110058315081	-0.00026623078629833564	0.05230110058315081
DAG06-260.HO	M	Kaitag.HO	0.005920771772262202	0.057002413277781966	0.005920771772262202	0.057002413277781966
DAG06-261.HO	M	Kaitag.HO	0.0020224676088086216	0.05225909256937795	0.0020224676088086216	0.05225909256937795
DAG06-262.HO	M	Kaitag.HO	0.0025192550926104898	0.05422560456403094	0.0025192550926104898	0.05422560456403094
DAG06-578.HO	M	Kaitag.HO	-0.0008947490181468169	0.04729345258002488	-0.0008947490181468169	0.04729345258002488
DAG06-786.HO	M	Kaitag.HO	0.0018792663080338425	0.049444019787924814	0.0018792663080338425	0.049444019787924814
DAG06-824.HO	M	Kaitag.HO	-0.000717186253146809	0.05503376178196631	-0.000717186253146809	0.05503376178196631
DAG06-826.HO	M	Kaitag.HO	-0.004231797751804054	0.05963278005397997	-0.004231797751804054	0.05963278005397997
DAG06-830.HO	M	Kaitag.HO	-0.00030705437019082425	0.05264269052932575	-0.00030705437019082425	0.05264269052932575
EZI-001.HO	M	Ezid.HO	0.03404845831908527	0.027700110194142927	0.03404845831908527	0.027700110194142927
EZI-010.HO	M	Ezid.HO	0.03740191900658971	0.02882321534202888	0.03740191900658971	0.02882321534202888
EZI-012.HO	M	Ezid.HO	0.03790902054207588	0.029635852214226786	0.03790902054207588	0.029635852214226786
EZI-013.HO	M	Ezid.HO	0.031554182163831615	0.02533554518067255	0.031554182163831615	0.02533554518067255
EZI-020.HO	M	Ezid.HO	0.03180931331632802	0.030290429436983596	0.03180931331632802	0.030290429436983596
EZI-029.HO	M	Ezid.HO	0.04444426359514058	0.024379413111487887	0.04444426359514058	0.024379413111487887
EZI-060.HO	M	Ezid.HO	0.036526440047112356	0.030600870944371257	0.036526440047112356	0.030600870944371257
