filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,vapp,vconf,experiment,block,namespace,alternate
pa_[date]_00,gridpoint,arpege,0,utc,glob025,production,historic,grib,0,102,3,4,promethee,commun,OPER,forecast,vortex.cache.fr,pa_[date-1]_18
pa_[date]_06,gridpoint,arpege,6,utc,glob025,production,historic,grib,0,72,3,11,promethee,commun,OPER,forecast,vortex.cache.fr,pa_[date]_00
pa_[date]_12,gridpoint,arpege,12,utc,glob025,production,historic,grib,0,114,3,16,promethee,commun,OPER,forecast,vortex.cache.fr,pa_[date]_06
pa_[date]_18,gridpoint,arpege,18,utc,glob025,production,historic,grib,0,60,3,23,promethee,commun,OPER,forecast,vortex.cache.fr,pa_[date]_12
