param,EAU__SOL,FF__HAUTEUR10,DD__HAUTEUR10,HU__HAUTEUR2,LPN__SOL,NEBUL__SOL,NEIPOT__SOL,PRECIP__SOL,RAF__HAUTEUR10,T__HAUTEUR2,WWMF__SOL,PROB_ORAGE__SOL,ALTITUDE__ISOT27315,ST_ROAD__SOL,R_ST_ROAD__SOL,R_SN_DRIFT__SOL,T_ROAD__SOL,GIVRECABLE__P001,GIVRECABLE__P100,GIVRECABLE__P300,NEIGECABLE__P001,NEIGECABLE__P300,NEIGECABLE__P500
EAU__SOL,1,,,,,,,,,,,,,,,,,,,,,,
FF__HAUTEUR10,,1,,,,,,,1,,,,,,,,,,,,,,
DD__HAUTEUR10,,1,1,,,,,,1,,,,,,,,,,,,,,
HU__HAUTEUR2,,,,1,,,,,,,,,,,,,,,,,,,
LPN__SOL,,,,,1,,,,,,,,,,,,,,,,,,
NEBUL__SOL,,,,,,1,,,,,,,,,,,,,,,,,
NEIPOT__SOL,,,,,,,1,,,,,,,,,,,,,,,,
PRECIP__SOL,,,,,,,,1,,,,,,,,,,,,,,,
RAF__HAUTEUR10,,1,,,,,,,1,,,,,,,,,,,,,,
T__HAUTEUR2,,,,,,,,,,1,,,,,,,,,,,,,
WWMF__SOL,,,,,,,,,,,1,,,,,,,,,,,,
PROB_ORAGE__SOL,,,,,,,,,,,,1,,,,,,,,,,,
ALTITUDE__ISOT27315,,,,,,,,,,,,,1,,,,,,,,,,
ST_ROAD__SOL,,,,,,,,,,,,,,1,,,,,,,,,
R_ST_ROAD__SOL,,,,,,,,,,,,,,,1,,,,,,,,
R_SN_DRIFT__SOL,,,,,,,,,,,,,,,,1,,,,,,,
T_ROAD__SOL,,,,,,,,,,,,,,,,,1,,,,,,
GIVRECABLE__P001,,,,,,,,,,,,,,,,,,1,,,,,
GIVRECABLE__P100,,,,,,,,,,,,,,,,,,,1,,,,
GIVRECABLE__P300,,,,,,,,,,,,,,,,,,,,1,,,
NEIGECABLE__P001,,,,,,,,,,,,,,,,,,,,,1,,
NEIGECABLE__P300,,,,,,,,,,,,,,,,,,,,,,1,
NEIGECABLE__P500,,,,,,,,,,,,,,,,,,,,,,,1
