param,model,discipline,parameterCategory,productDefinitionTemplateNumber,parameterNumber,typeOfFirstFixedSurface,level,typeOfStatisticalProcessing,derivedForecast,percentileValue,scaledValueOfLowerLimit,scaledValueOfUpperLimit,lengthOfTimeRange,PrometheeTimeRangeFromStep,units,dtype
ALTITUDE__SOL,alpha,0,3,0,6,sfc,0,,,,,,,,m,float32
T_ROAD__SOL,promethee,2,192,0,42,sfc,0,,,,,,,,K,float32
GIVRECABLE__P001,promethee,0,192,9,5,sfc,10,0,,,,1,,,%,float32
GIVRECABLE__P100,promethee,0,192,9,5,sfc,10,0,,,,100,,,%,float32
GIVRECABLE__P300,promethee,0,192,9,5,sfc,10,0,,,,300,,,%,float32
NEIGECABLE__P001,promethee,0,192,9,6,sfc,10,0,,,,1,,,%,float32
NEIGECABLE__P300,promethee,0,192,9,6,sfc,10,0,,,,300,,,%,float32
NEIGECABLE__P500,promethee,0,192,9,6,sfc,10,0,,,,500,,,%,float32
RETOURRAF__P5,promethee,0,192,9,10,sfc,10,255,,,,5,,,%,float32
RETOURRAF__P10,promethee,0,192,9,10,sfc,10,255,,,,10,,,%,float32
RETOURRAF__P50,promethee,0,192,9,10,sfc,10,255,,,,50,,,%,float32
RETOURRAF__Q10,promethee,0,192,10,10,sfc,10,255,,10,,,,,year,float32
RETOURRAF__Q50,promethee,0,192,10,10,sfc,10,255,,50,,,,,year,float32
RETOURRAF__Q90,promethee,0,192,10,10,sfc,10,255,,90,,,,,year,float32
T_ROAD__SOL,default,2,192,0,42,sfc,0,,,,,,,,K,float32
GIVRECABLE__P001,default,0,192,9,5,sfc,10,0,,,,1,,,%,float32
RAF__HAUTEUR10,default,0,2,0,22,sfc,10,,,,,,,,m s**-1,float32
RAF__HAUTEUR10,arpege,0,2,8,22,sfc,10,,,,,,,,m s**-1,float32
RAF__HAUTEUR10,sympo,0,2,0,22,sfc,10,,,,,,,,m s**-1,float32
RAF__HAUTEUR10,alpha,0,2,12,22,sfc,10,,200,,,,,,m s**-1,float32
RAF__HAUTEUR10__MAXE,alpha,0,2,12,22,sfc,10,,9,,,,,,m s**-1,float32
RAF__HAUTEUR10__MINE,alpha,0,2,12,22,sfc,10,,8,,,,,,m s**-1,float32
RAF__HAUTEUR10__Q10,alpha,0,2,10,22,sfc,10,,,10,,,,,m s**-1,float32
RAF__HAUTEUR10__Q20,alpha,0,2,10,22,sfc,10,,,20,,,,,m s**-1,float32
RAF__HAUTEUR10__Q30,alpha,0,2,10,22,sfc,10,,,30,,,,,m s**-1,float32
RAF__HAUTEUR10__Q40,alpha,0,2,10,22,sfc,10,,,40,,,,,m s**-1,float32
RAF__HAUTEUR10__Q50,alpha,0,2,10,22,sfc,10,,,50,,,,,m s**-1,float32
RAF__HAUTEUR10__Q60,alpha,0,2,10,22,sfc,10,,,60,,,,,m s**-1,float32
RAF__HAUTEUR10__Q70,alpha,0,2,10,22,sfc,10,,,70,,,,,m s**-1,float32
RAF__HAUTEUR10__Q80,alpha,0,2,10,22,sfc,10,,,80,,,,,m s**-1,float32
RAF__HAUTEUR10__Q90,alpha,0,2,10,22,sfc,10,,,90,,,,,m s**-1,float32
RAF__HAUTEUR50,default,0,2,0,22,sfc,50,,,,,,,,m s**-1,float32
