param,model,discipline,parameterCategory,productDefinitionTemplateNumber,parameterNumber,typeOfFirstFixedSurface,level,typeOfStatisticalProcessing,derivedForecast,percentileValue,scaledValueOfLowerLimit,scaledValueOfUpperLimit,lengthOfTimeRange,PrometheeTimeRangeFromStep,units,dtype
RAF__HAUTEUR100,default,0,2,0,22,sfc,100,,,,,,,,m s**-1,float32
ST_ROAD__SOL,petaroute,2,192,0,20,sfc,0,,,,,,,,st_road,int8
R_ST_ROAD__SOL,petaroute,2,192,0,21,sfc,0,,,,,,,,r_st_road,int8
R_SN_DRIFT__SOL,petaroute,2,192,0,22,sfc,0,,,,,,,,bool,int8
ALTITUDE__ISOT27315,default,0,3,2,6,20,273,,,,,,,,m,float32
ALTITUDE__ISOT27315,sympo,0,3,0,6,4,0,,,,,,,,m,float32
ALTITUDE__ISOT27315,alpha,0,3,2,6,20,273,,200,,,,,,m,float32
ALTITUDE__ISOT27315__MAXE,alpha,0,3,2,6,20,273,,9,,,,,,m,float32
ALTITUDE__ISOT27315__MINE,alpha,0,3,2,6,20,273,,8,,,,,,m,float32
ALTITUDE__ISOT27315__Q10,alpha,0,3,6,6,20,273,,,10,,,,,m,float32
ALTITUDE__ISOT27315__Q20,alpha,0,3,6,6,20,273,,,20,,,,,m,float32
ALTITUDE__ISOT27315__Q30,alpha,0,3,6,6,20,273,,,30,,,,,m,float32
ALTITUDE__ISOT27315__Q40,alpha,0,3,6,6,20,273,,,40,,,,,m,float32
ALTITUDE__ISOT27315__Q50,alpha,0,3,6,6,20,273,,,50,,,,,m,float32
ALTITUDE__ISOT27315__Q60,alpha,0,3,6,6,20,273,,,60,,,,,m,float32
ALTITUDE__ISOT27315__Q70,alpha,0,3,6,6,20,273,,,70,,,,,m,float32
ALTITUDE__ISOT27315__Q80,alpha,0,3,6,6,20,273,,,80,,,,,m,float32
ALTITUDE__ISOT27315__Q90,alpha,0,3,6,6,20,273,,,90,,,,,m,float32
DD__HAUTEUR10,default,0,2,0,0,sfc,10,,,,,,,,deg,float32
DD__HAUTEUR10,arpege,0,2,0,0,sfc,10,,,,,,,,deg,float32
DD__HAUTEUR10,sympo,0,2,0,0,sfc,10,,,,,,,,deg,float32
DD__HAUTEUR10,alpha,0,2,2,0,sfc,10,,200,,,,,,deg,float32
DD__HAUTEUR10__P0,alpha,0,2,5,0,sfc,10,,,,0,,,,deg,float32
DD__HAUTEUR10__P1,alpha,0,2,5,0,sfc,10,,,,1,,,,deg,float32
DD__HAUTEUR10__P2,alpha,0,2,5,0,sfc,10,,,,2,,,,deg,float32
DD__HAUTEUR10__P3,alpha,0,2,5,0,sfc,10,,,,3,,,,deg,float32
DD__HAUTEUR10__P4,alpha,0,2,5,0,sfc,10,,,,4,,,,deg,float32
DD__HAUTEUR10__P5,alpha,0,2,5,0,sfc,10,,,,5,,,,deg,float32
DD__HAUTEUR10__P6,alpha,0,2,5,0,sfc,10,,,,6,,,,deg,float32
DD__HAUTEUR10__P7,alpha,0,2,5,0,sfc,10,,,,7,,,,deg,float32
DD__HAUTEUR10__P8,alpha,0,2,5,0,sfc,10,,,,8,,,,deg,float32
DD__HAUTEUR10__P9,alpha,0,2,5,0,sfc,10,,,,9,,,,deg,float32
DD__HAUTEUR10__P10,alpha,0,2,5,0,sfc,10,,,,10,,,,deg,float32
DD__HAUTEUR10__P11,alpha,0,2,5,0,sfc,10,,,,11,,,,deg,float32
DD__HAUTEUR10__P12,alpha,0,2,5,0,sfc,10,,,,12,,,,deg,float32
DD__HAUTEUR10__P13,alpha,0,2,5,0,sfc,10,,,,13,,,,deg,float32
DD__HAUTEUR10__P14,alpha,0,2,5,0,sfc,10,,,,14,,,,deg,float32
DD__HAUTEUR10__P15,alpha,0,2,5,0,sfc,10,,,,15,,,,deg,float32
DD__HAUTEUR10__P16,alpha,0,2,5,0,sfc,10,,,,16,,,,deg,float32
DD__HAUTEUR50,default,0,2,0,0,sfc,50,,,,,,,,deg,float32
DD__HAUTEUR100,default,0,2,0,0,sfc,100,,,,,,,,deg,float32
DD__HAUTEUR100,alpha,0,2,2,0,sfc,100,,200,,,,,,deg,float32
DD__HAUTEUR100__P0,alpha,0,2,5,0,sfc,100,,,,0,,,,deg,float32
DD__HAUTEUR100__P1,alpha,0,2,5,0,sfc,100,,,,1,,,,deg,float32
DD__HAUTEUR100__P2,alpha,0,2,5,0,sfc,100,,,,2,,,,deg,float32
DD__HAUTEUR100__P3,alpha,0,2,5,0,sfc,100,,,,3,,,,deg,float32
DD__HAUTEUR100__P4,alpha,0,2,5,0,sfc,100,,,,4,,,,deg,float32
DD__HAUTEUR100__P5,alpha,0,2,5,0,sfc,100,,,,5,,,,deg,float32
DD__HAUTEUR100__P6,alpha,0,2,5,0,sfc,100,,,,6,,,,deg,float32
DD__HAUTEUR100__P7,alpha,0,2,5,0,sfc,100,,,,7,,,,deg,float32
DD__HAUTEUR100__P8,alpha,0,2,5,0,sfc,100,,,,8,,,,deg,float32
DD__HAUTEUR100__P9,alpha,0,2,5,0,sfc,100,,,,9,,,,deg,float32
DD__HAUTEUR100__P10,alpha,0,2,5,0,sfc,100,,,,10,,,,deg,float32
DD__HAUTEUR100__P11,alpha,0,2,5,0,sfc,100,,,,11,,,,deg,float32
DD__HAUTEUR100__P12,alpha,0,2,5,0,sfc,100,,,,12,,,,deg,float32
DD__HAUTEUR100__P13,alpha,0,2,5,0,sfc,100,,,,13,,,,deg,float32
DD__HAUTEUR100__P14,alpha,0,2,5,0,sfc,100,,,,14,,,,deg,float32
DD__HAUTEUR100__P15,alpha,0,2,5,0,sfc,100,,,,15,,,,deg,float32
DD__HAUTEUR100__P16,alpha,0,2,5,0,sfc,100,,,,16,,,,deg,float32
EAU__SOL,default,0,1,8,65,sfc,0,1,,,,,1,True,kg m**-2,float32
EAU__SOL,arpege,0,1,8,65,sfc,0,1,,,,,1,True,kg m**-2,float32
EAU__SOL,sympo,0,1,8,65,sfc,0,1,,,,,1,True,kg m**-2,float32
EAU__SOL,alpha,0,1,12,65,sfc,0,1,200,,,,1,True,kg m**-2,float32
EAU__SOL__MAXE,alpha,0,1,12,65,sfc,0,1,9,,,,1,True,kg m**-2,float32
EAU__SOL__MINE,alpha,0,1,12,65,sfc,0,1,8,,,,1,True,kg m**-2,float32
EAU__SOL__Q10,alpha,0,1,10,65,sfc,0,1,,10,,,1,True,kg m**-2,float32
EAU__SOL__Q20,alpha,0,1,10,65,sfc,0,1,,20,,,1,True,kg m**-2,float32
EAU__SOL__Q30,alpha,0,1,10,65,sfc,0,1,,30,,,1,True,kg m**-2,float32
EAU__SOL__Q40,alpha,0,1,10,65,sfc,0,1,,40,,,1,True,kg m**-2,float32
EAU__SOL__Q50,alpha,0,1,10,65,sfc,0,1,,50,,,1,True,kg m**-2,float32
EAU__SOL__Q60,alpha,0,1,10,65,sfc,0,1,,60,,,1,True,kg m**-2,float32
EAU__SOL__Q70,alpha,0,1,10,65,sfc,0,1,,70,,,1,True,kg m**-2,float32
EAU__SOL__Q80,alpha,0,1,10,65,sfc,0,1,,80,,,1,True,kg m**-2,float32
EAU__SOL__Q90,alpha,0,1,10,65,sfc,0,1,,90,,,1,True,kg m**-2,float32
FF__HAUTEUR10,default,0,2,0,1,sfc,10,,,,,,,,m s**-1,float32
FF__HAUTEUR10,arpege,0,2,0,1,sfc,10,,,,,,,,m s**-1,float32
FF__HAUTEUR10,sympo,0,2,0,1,sfc,10,,,,,,,,m s**-1,float32
FF__HAUTEUR10,alpha,0,2,2,1,sfc,10,,200,,,,,,m s**-1,float32
FF__HAUTEUR10__MAXE,alpha,0,2,2,1,sfc,10,,9,,,,,,m s**-1,float32
FF__HAUTEUR10__MINE,alpha,0,2,2,1,sfc,10,,8,,,,,,m s**-1,float32
FF__HAUTEUR10__Q10,alpha,0,2,6,1,sfc,10,,,10,,,,,m s**-1,float32
FF__HAUTEUR10__Q20,alpha,0,2,6,1,sfc,10,,,20,,,,,m s**-1,float32
FF__HAUTEUR10__Q30,alpha,0,2,6,1,sfc,10,,,30,,,,,m s**-1,float32
FF__HAUTEUR10__Q40,alpha,0,2,6,1,sfc,10,,,40,,,,,m s**-1,float32
FF__HAUTEUR10__Q50,alpha,0,2,6,1,sfc,10,,,50,,,,,m s**-1,float32
FF__HAUTEUR10__Q60,alpha,0,2,6,1,sfc,10,,,60,,,,,m s**-1,float32
FF__HAUTEUR10__Q70,alpha,0,2,6,1,sfc,10,,,70,,,,,m s**-1,float32
FF__HAUTEUR10__Q80,alpha,0,2,6,1,sfc,10,,,80,,,,,m s**-1,float32
FF__HAUTEUR10__Q90,alpha,0,2,6,1,sfc,10,,,90,,,,,m s**-1,float32
FF__HAUTEUR50,default,0,2,0,1,sfc,50,,,,,,,,m s**-1,float32
FF__HAUTEUR100,default,0,2,0,1,sfc,100,,,,,,,,m s**-1,float32
FF__HAUTEUR100,alpha,0,2,2,1,sfc,100,,200,,,,,,m s**-1,float32
FF__HAUTEUR100__MAXE,alpha,0,2,2,1,sfc,100,,9,,,,,,m s**-1,float32
FF__HAUTEUR100__MINE,alpha,0,2,2,1,sfc,100,,8,,,,,,m s**-1,float32
FF__HAUTEUR100__Q10,alpha,0,2,6,1,sfc,100,,,10,,,,,m s**-1,float32
FF__HAUTEUR100__Q20,alpha,0,2,6,1,sfc,100,,,20,,,,,m s**-1,float32
FF__HAUTEUR100__Q30,alpha,0,2,6,1,sfc,100,,,30,,,,,m s**-1,float32
FF__HAUTEUR100__Q40,alpha,0,2,6,1,sfc,100,,,40,,,,,m s**-1,float32
FF__HAUTEUR100__Q50,alpha,0,2,6,1,sfc,100,,,50,,,,,m s**-1,float32
FF__HAUTEUR100__Q60,alpha,0,2,6,1,sfc,100,,,60,,,,,m s**-1,float32
FF__HAUTEUR100__Q70,alpha,0,2,6,1,sfc,100,,,70,,,,,m s**-1,float32
FF__HAUTEUR100__Q80,alpha,0,2,6,1,sfc,100,,,80,,,,,m s**-1,float32
FF__HAUTEUR100__Q90,alpha,0,2,6,1,sfc,100,,,90,,,,,m s**-1,float32
HUMIDEX__HAUTEUR2,default,0,0,0,192,sfc,2,,,,,,,,%,float32
HUMIDEX__HAUTEUR2,alpha,0,0,2,192,sfc,2,,200,,,,,,%,float32
HUMIDEX__HAUTEUR2__MAXE,alpha,0,0,2,192,sfc,2,,9,,,,,,%,float32
HUMIDEX__HAUTEUR2__MINE,alpha,0,0,2,192,sfc,2,,8,,,,,,%,float32
HUMIDEX__HAUTEUR2__Q10,alpha,0,0,6,192,sfc,2,,,10,,,,,%,float32
HUMIDEX__HAUTEUR2__Q20,alpha,0,0,6,192,sfc,2,,,20,,,,,%,float32
HUMIDEX__HAUTEUR2__Q30,alpha,0,0,6,192,sfc,2,,,30,,,,,%,float32
HUMIDEX__HAUTEUR2__Q40,alpha,0,0,6,192,sfc,2,,,40,,,,,%,float32
HUMIDEX__HAUTEUR2__Q50,alpha,0,0,6,192,sfc,2,,,50,,,,,%,float32
HUMIDEX__HAUTEUR2__Q60,alpha,0,0,6,192,sfc,2,,,60,,,,,%,float32
HUMIDEX__HAUTEUR2__Q70,alpha,0,0,6,192,sfc,2,,,70,,,,,%,float32
HUMIDEX__HAUTEUR2__Q80,alpha,0,0,6,192,sfc,2,,,80,,,,,%,float32
HUMIDEX__HAUTEUR2__Q90,alpha,0,0,6,192,sfc,2,,,90,,,,,%,float32
HU__HAUTEUR2,default,0,1,0,1,sfc,2,,,,,,,,%,float32
HU__HAUTEUR2,arpege,0,1,0,1,sfc,2,,,,,,,,%,float32
HU__HAUTEUR2,sympo,0,1,0,1,sfc,2,,,,,,,,%,float32
HU__HAUTEUR2,alpha,0,1,2,1,sfc,2,,200,,,,,,%,float32
HU__HAUTEUR2__MAXE,alpha,0,1,2,1,sfc,2,,9,,,,,,%,float32
HU__HAUTEUR2__MINE,alpha,0,1,2,1,sfc,2,,8,,,,,,%,float32
HU__HAUTEUR2__Q10,alpha,0,1,6,1,sfc,2,,,10,,,,,%,float32
HU__HAUTEUR2__Q20,alpha,0,1,6,1,sfc,2,,,20,,,,,%,float32
HU__HAUTEUR2__Q30,alpha,0,1,6,1,sfc,2,,,30,,,,,%,float32
HU__HAUTEUR2__Q40,alpha,0,1,6,1,sfc,2,,,40,,,,,%,float32
HU__HAUTEUR2__Q50,alpha,0,1,6,1,sfc,2,,,50,,,,,%,float32
HU__HAUTEUR2__Q60,alpha,0,1,6,1,sfc,2,,,60,,,,,%,float32
HU__HAUTEUR2__Q70,alpha,0,1,6,1,sfc,2,,,70,,,,,%,float32
HU__HAUTEUR2__Q80,alpha,0,1,6,1,sfc,2,,,80,,,,,%,float32
HU__HAUTEUR2__Q90,alpha,0,1,6,1,sfc,2,,,90,,,,,%,float32
HU__HAUTEUR10,default,0,1,0,1,sfc,10,,,,,,,,%,float32
HU__HAUTEUR20,default,0,1,0,1,sfc,20,,,,,,,,%,float32
HU__HAUTEUR50,default,0,1,0,1,sfc,50,,,,,,,,%,float32
HU__HAUTEUR100,default,0,1,0,1,sfc,100,,,,,,,,%,float32
HU__ISOBARE700,default,0,1,0,1,pl,700,,,,,,,,%,float32
HU__ISOBARE700,arpege,0,1,0,1,pl,700,,,,,,,,%,float32
H_COULIM__SOL,default,0,3,0,18,sfc,0,,,,,,,,m,float32
H_COULIM__SOL,alpha,0,3,2,18,sfc,0,,200,,,,,,m,float32
H_COULIM__SOL__MAXE,alpha,0,3,2,18,sfc,0,,9,,,,,,m,float32
H_COULIM__SOL__MINE,alpha,0,3,2,18,sfc,0,,8,,,,,,m,float32
H_COULIM__SOL__Q10,alpha,0,3,6,18,sfc,0,,,10,,,,,m,float32
H_COULIM__SOL__Q20,alpha,0,3,6,18,sfc,0,,,20,,,,,m,float32
H_COULIM__SOL__Q30,alpha,0,3,6,18,sfc,0,,,30,,,,,m,float32
H_COULIM__SOL__Q40,alpha,0,3,6,18,sfc,0,,,40,,,,,m,float32
H_COULIM__SOL__Q50,alpha,0,3,6,18,sfc,0,,,50,,,,,m,float32
H_COULIM__SOL__Q60,alpha,0,3,6,18,sfc,0,,,60,,,,,m,float32
H_COULIM__SOL__Q70,alpha,0,3,6,18,sfc,0,,,70,,,,,m,float32
H_COULIM__SOL__Q80,alpha,0,3,6,18,sfc,0,,,80,,,,,m,float32
H_COULIM__SOL__Q90,alpha,0,3,6,18,sfc,0,,,90,,,,,m,float32
LPN__SOL,sympo,0,3,0,6,193,0,,,,,,,,m,float32
LPN__SOL,alpha,0,3,2,6,193,0,,200,,,,,,m,float32
LPN__SOL__MAXE,alpha,0,3,2,6,193,0,,9,,,,,,m,float32
LPN__SOL__MINE,alpha,0,3,2,6,193,0,,8,,,,,,m,float32
LPN__SOL__Q10,alpha,0,3,6,6,193,0,,,10,,,,,m,float32
LPN__SOL__Q20,alpha,0,3,6,6,193,0,,,20,,,,,m,float32
LPN__SOL__Q30,alpha,0,3,6,6,193,0,,,30,,,,,m,float32
LPN__SOL__Q40,alpha,0,3,6,6,193,0,,,40,,,,,m,float32
LPN__SOL__Q50,alpha,0,3,6,6,193,0,,,50,,,,,m,float32
LPN__SOL__Q60,alpha,0,3,6,6,193,0,,,60,,,,,m,float32
LPN__SOL__Q70,alpha,0,3,6,6,193,0,,,70,,,,,m,float32
LPN__SOL__Q80,alpha,0,3,6,6,193,0,,,80,,,,,m,float32
LPN__SOL__Q90,alpha,0,3,6,6,193,0,,,90,,,,,m,float32
NEBUL__SOL,default,0,6,0,1,sfc,0,,,,,,,,%,float32
NEBUL__SOL,arpege,0,6,0,1,sfc,0,,,,,,,,%,float32
NEBUL__SOL,sympo,0,6,0,1,sfc,0,,,,,,,,%,float32
NEBUL__SOL,alpha,0,6,2,1,sfc,0,,200,,,,,,%,float32
NEBUL__SOL__P0,alpha,0,6,5,32,sfc,0,,,,0,,,,%,float32
NEBUL__SOL__P1,alpha,0,6,5,32,sfc,0,,,,1,,,,%,float32
NEBUL__SOL__P2,alpha,0,6,5,32,sfc,0,,,,2,,,,%,float32
NEBUL__SOL__P3,alpha,0,6,5,32,sfc,0,,,,3,,,,%,float32
NEBUL__SOL__P4,alpha,0,6,5,32,sfc,0,,,,4,,,,%,float32
NEBUL__SOL__P5,alpha,0,6,5,32,sfc,0,,,,5,,,,%,float32
NEBUL__SOL__P6,alpha,0,6,5,32,sfc,0,,,,6,,,,%,float32
NEBUL__SOL__P7,alpha,0,6,5,32,sfc,0,,,,7,,,,%,float32
NEBUL__SOL__P8,alpha,0,6,5,32,sfc,0,,,,8,,,,%,float32
NEBBAS__SOL,default,0,6,0,3,sfc,0,,,,,,,,%,float32
NEBMOY__SOL,default,0,6,0,4,sfc,0,,,,,,,,%,float32
NEBHAU__SOL,default,0,6,0,5,sfc,0,,,,,,,,%,float32
NEIGE__SOL,default,0,1,8,66,sfc,0,1,,,,,1,True,kg m**-2,float32
NEIGE__SOL,arpege,0,1,8,66,sfc,0,1,,,,,1,True,mm,float32
NEIGE__SOL,sympo,0,1,8,66,sfc,0,1,,,,,1,True,mm,float32
NEIPOT__SOL,default,0,1,8,196,sfc,0,1,,,,,1,True,kg m**-2,float32
NEIPOT__SOL,sympo,0,1,8,196,sfc,0,1,,,,,1,True,m,float32
NEIPOT__SOL,alpha,0,1,12,196,sfc,0,1,200,,,,1,True,m,float32
NEIPOT__SOL__MAXE,alpha,0,1,12,196,sfc,0,1,9,,,,1,True,m,float32
NEIPOT__SOL__MINE,alpha,0,1,12,196,sfc,0,1,8,,,,1,True,m,float32
NEIPOT__SOL__Q10,alpha,0,1,10,196,sfc,0,1,,10,,,1,True,m,float32
NEIPOT__SOL__Q20,alpha,0,1,10,196,sfc,0,1,,20,,,1,True,m,float32
NEIPOT__SOL__Q30,alpha,0,1,10,196,sfc,0,1,,30,,,1,True,m,float32
NEIPOT__SOL__Q40,alpha,0,1,10,196,sfc,0,1,,40,,,1,True,m,float32
NEIPOT__SOL__Q50,alpha,0,1,10,196,sfc,0,1,,50,,,1,True,m,float32
NEIPOT__SOL__Q60,alpha,0,1,10,196,sfc,0,1,,60,,,1,True,m,float32
NEIPOT__SOL__Q70,alpha,0,1,10,196,sfc,0,1,,70,,,1,True,m,float32
NEIPOT__SOL__Q80,alpha,0,1,10,196,sfc,0,1,,80,,,1,True,m,float32
NEIPOT__SOL__Q90,alpha,0,1,10,196,sfc,0,1,,90,,,1,True,m,float32
P__MER,default,0,3,0,1,sfc,0,,,,,,,,Pa,float32
P__MER,arpege,0,3,0,1,sfc,0,,,,,,,,Pa,float32
PRECIP__SOL,default,0,1,8,52,sfc,0,1,,,,,1,True,kg m**-2,float32
PRECIP__SOL,arpege,0,1,8,52,sfc,0,1,,,,,1,True,kg m**-2,float32
PRECIP__SOL,sympo,0,1,8,52,sfc,0,1,,,,,1,True,kg m**-2,float32
PRECIP__SOL,alpha,0,1,12,52,sfc,0,1,200,,,,1,True,kg m**-2,float32
PRECIP__SOL__MAXE,alpha,0,1,12,52,sfc,0,1,9,,,,1,True,kg m**-2,float32
PRECIP__SOL__MINE,alpha,0,1,12,52,sfc,0,1,8,,,,1,True,kg m**-2,float32
PRECIP__SOL__Q10,alpha,0,1,10,52,sfc,0,1,,10,,,1,True,kg m**-2,float32
PRECIP__SOL__Q20,alpha,0,1,10,52,sfc,0,1,,20,,,1,True,kg m**-2,float32
PRECIP__SOL__Q30,alpha,0,1,10,52,sfc,0,1,,30,,,1,True,kg m**-2,float32
PRECIP__SOL__Q40,alpha,0,1,10,52,sfc,0,1,,40,,,1,True,kg m**-2,float32
PRECIP__SOL__Q50,alpha,0,1,10,52,sfc,0,1,,50,,,1,True,kg m**-2,float32
PRECIP__SOL__Q60,alpha,0,1,10,52,sfc,0,1,,60,,,1,True,kg m**-2,float32
PRECIP__SOL__Q70,alpha,0,1,10,52,sfc,0,1,,70,,,1,True,kg m**-2,float32
PRECIP__SOL__Q80,alpha,0,1,10,52,sfc,0,1,,80,,,1,True,kg m**-2,float32
PRECIP__SOL__Q90,alpha,0,1,10,52,sfc,0,1,,90,,,1,True,kg m**-2,float32
PROB_EAU__SOL,alpha,0,1,9,65,sfc,0,1,,,0,,,,%,float32
PROB_FZFG__SOL,default,0,195,8,11,sfc,0,,,,,,,,%,float32
PROB_FZFG__SOL,alpha,0,195,8,11,sfc,0,255,,,,,,,%,float32
PROB_GRELE__SOL,default,0,19,0,252,sfc,0,,,,,,,,%,float32
PROB_GRELE__SOL,sympo,0,19,0,252,sfc,0,,,,,,,,%,float32
PROB_GRELE__SOL,alpha,0,19,8,252,sfc,0,255,,,,,,,%,float32
PROB_NEIGE__SOL,alpha,0,1,9,66,sfc,0,1,,,0,,,,%,float32
PROB_ORAGE__SOL,default,0,19,0,2,sfc,0,,,,,,,,%,float32
PROB_ORAGE__SOL,sympo,0,19,0,2,sfc,0,,,,,,,,%,float32
PROB_ORAGE__SOL,alpha,0,19,0,2,sfc,0,,,,,,,,%,float32
PROB_PRECIP__SOL,alpha,0,1,9,52,sfc,0,1,,,0,,,,%,float32
PROB_VERGLAS__SOL,default,0,19,0,251,sfc,0,,,,,,,,%,float32
PROB_VERGLAS__SOL,sympo,0,19,0,251,sfc,0,,,,,,,,%,float32
PROB_VERGLAS__SOL,alpha,0,19,8,251,sfc,0,255,,,,,,,%,float32
PROB_VISI__SOL,sympo,0,19,5,0,sfc,0,,,,0,,,,%,float32
PROB_VISI__SOL,alpha,0,19,9,0,sfc,0,255,,,0,,,,%,float32
RISQUE_ORAGE__SOL,alpha,0,195,0,0,sfc,0,,,,,,,,%,float32
TYPE_FG__SOL,default,0,195,8,10,sfc,0,,,,,,,,type_fg,int8
TYPE_FG__SOL,alpha,0,195,8,10,sfc,0,255,,,,,,,type_fg,int8
T__SOL,default,0,0,0,0,sfc,0,,,,,,,,K,float32
T__HAUTEUR2,default,0,0,0,0,sfc,2,,,,,,,,K,float32
T__HAUTEUR2,sympo,0,0,0,0,sfc,2,,,,,,,,K,float32
T__HAUTEUR2,arpege,0,0,0,0,sfc,2,,,,,,,,K,float32
T__HAUTEUR2,alpha,0,0,2,0,sfc,2,,200,,,,,,K,float32
TMAXQ__HAUTEUR2,alpha,0,0,12,0,sfc,2,2,200,,,,24,,K,float32
TMINQ__HAUTEUR2,alpha,0,0,12,0,sfc,2,3,200,,,,24,,K,float32
T__HAUTEUR2__MAXE,alpha,0,0,2,0,sfc,2,,9,,,,,,K,float32
T__HAUTEUR2__MINE,alpha,0,0,2,0,sfc,2,,8,,,,,,K,float32
T__HAUTEUR2__Q10,alpha,0,0,6,0,sfc,2,,,10,,,,,K,float32
T__HAUTEUR2__Q20,alpha,0,0,6,0,sfc,2,,,20,,,,,K,float32
T__HAUTEUR2__Q30,alpha,0,0,6,0,sfc,2,,,30,,,,,K,float32
T__HAUTEUR2__Q40,alpha,0,0,6,0,sfc,2,,,40,,,,,K,float32
T__HAUTEUR2__Q50,alpha,0,0,6,0,sfc,2,,,50,,,,,K,float32
T__HAUTEUR2__Q60,alpha,0,0,6,0,sfc,2,,,60,,,,,K,float32
T__HAUTEUR2__Q70,alpha,0,0,6,0,sfc,2,,,70,,,,,K,float32
T__HAUTEUR2__Q80,alpha,0,0,6,0,sfc,2,,,80,,,,,K,float32
T__HAUTEUR2__Q90,alpha,0,0,6,0,sfc,2,,,90,,,,,K,float32
T_AS__HAUTEUR2,alpha,0,0,0,0,sfc,2,,,,,,,,K,float32
TMAX__HAUTEUR2,default,0,0,8,0,sfc,2,2,,,,,,,K,float32
TMAX__HAUTEUR2,sympo,0,0,8,0,sfc,2,2,,,,,,,K,float32
TMIN__HAUTEUR2,default,0,0,8,0,sfc,2,3,,,,,,,K,float32
TMIN__HAUTEUR2,sympo,0,0,8,0,sfc,2,3,,,,,,,K,float32
THETAPW__ISOBARE850,default,0,0,0,3,pl,850,,,,,,,,K,float32
THETAPW__ISOBARE850,arpege,0,0,0,3,pl,850,,,,,,,,K,float32
U__HAUTEUR10,default,0,2,0,2,sfc,10,,,,,,,,m s**-1,float32
U__HAUTEUR10,sympo,0,2,0,2,sfc,10,,,,,,,,m s**-1,float32
U__HAUTEUR10,arpege,0,2,0,2,sfc,10,,,,,,,,m s**-1,float32
U__HAUTEUR50,default,0,2,0,2,sfc,50,,,,,,,,m s**-1,float32
U__HAUTEUR100,default,0,2,0,2,sfc,100,,,,,,,,m s**-1,float32
U__ISOBARE850,default,0,2,0,2,pl,850,,,,,,,,,
U__ISOBARE850,arpege,0,2,0,2,pl,850,,,,,,,,,
