filename,kind,model,date,time_ref,geometry,cutoff,origin,nativefmt,start,stop,step,dispo_time,vapp,vconf,experiment,block,namespace,alternate
petaroute_jj1_[date]_00,gridpoint,petaroute,0,utc,franxl1s100,production,historic,grib,1,48,1,2,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date-1]_18
petaroute_jj1_[date]_06,gridpoint,petaroute,6,utc,franxl1s100,production,historic,grib,1,42,1,7,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_00
petaroute_jj1_[date]_12,gridpoint,petaroute,12,utc,franxl1s100,production,historic,grib,1,36,1,13,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_06
petaroute_jj1_[date]_18,gridpoint,petaroute,18,utc,franxl1s100,production,historic,grib,1,54,1,19,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_jj1_[date]_12
petaroute_j2j3_[date]_00,gridpoint,petaroute,0,utc,franxl1s100,production,historic,grib,51,96,3,2,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date-1]_18
petaroute_j2j3_[date]_06,gridpoint,petaroute,6,utc,franxl1s100,production,historic,grib,45,90,3,7,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_00
petaroute_j2j3_[date]_12,gridpoint,petaroute,12,utc,franxl1s100,production,historic,grib,39,84,3,13,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_06
petaroute_j2j3_[date]_18,gridpoint,petaroute,18,utc,franxl1s100,production,historic,grib,33,102,3,19,promethee,petaroute,OPER,forecast,vortex.cache.fr,petaroute_j2j3_[date]_12
psym_s1_[date]_01,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,1,48,1,1,promethee,commun,OPER,MAJ01,vortex.cache.fr,psym_s1_[date-1]_23
psym_s1_[date]_02,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,2,48,1,2,promethee,commun,OPER,MAJ02,vortex.cache.fr,psym_s1_[date]_01
psym_s1_[date]_03,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,3,48,1,3,promethee,commun,OPER,MAJ03,vortex.cache.fr,psym_s1_[date]_02
psym_s1_[date]_04,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,4,48,1,4,promethee,commun,OPER,MAJ04,vortex.cache.fr,psym_s1_[date]_03
psym_s1_[date]_05,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,5,48,1,5,promethee,commun,OPER,MAJ05,vortex.cache.fr,psym_s1_[date]_04
psym_s1_[date]_06,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,6,48,1,6,promethee,commun,OPER,MAJ06,vortex.cache.fr,psym_s1_[date]_05
psym_s1_[date]_07,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,7,48,1,7,promethee,commun,OPER,MAJ07,vortex.cache.fr,psym_s1_[date]_06
psym_s1_[date]_08,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,8,48,1,8,promethee,commun,OPER,MAJ08,vortex.cache.fr,psym_s1_[date]_07
psym_s1_[date]_09,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,9,48,1,9,promethee,commun,OPER,MAJ09,vortex.cache.fr,psym_s1_[date]_08
psym_s1_[date]_10,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,10,48,1,10,promethee,commun,OPER,MAJ10,vortex.cache.fr,psym_s1_[date]_09
psym_s1_[date]_11,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,11,48,1,11,promethee,commun,OPER,MAJ11,vortex.cache.fr,psym_s1_[date]_10
psym_s1_[date]_12,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,12,48,1,12,promethee,commun,OPER,MAJ12,vortex.cache.fr,psym_s1_[date]_11
psym_s1_[date]_13,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,13,48,1,13,promethee,commun,OPER,MAJ13,vortex.cache.fr,psym_s1_[date]_12
psym_s1_[date]_14,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,14,48,1,14,promethee,commun,OPER,MAJ14,vortex.cache.fr,psym_s1_[date]_13
psym_s1_[date]_15,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,15,48,1,15,promethee,commun,OPER,MAJ15,vortex.cache.fr,psym_s1_[date]_14
psym_s1_[date]_16,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,16,48,1,16,promethee,commun,OPER,MAJ16,vortex.cache.fr,psym_s1_[date]_15
psym_s1_[date]_17,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,17,48,1,17,promethee,commun,OPER,MAJ17,vortex.cache.fr,psym_s1_[date]_16
psym_s1_[date]_18,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,18,48,1,18,promethee,commun,OPER,MAJ18,vortex.cache.fr,psym_s1_[date]_17
psym_s1_[date]_19,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,19,48,1,19,promethee,commun,OPER,MAJ19,vortex.cache.fr,psym_s1_[date]_18
psym_s1_[date]_20,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,20,48,1,20,promethee,commun,OPER,MAJ20,vortex.cache.fr,psym_s1_[date]_19
psym_s1_[date]_21,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,21,48,1,21,promethee,commun,OPER,MAJ21,vortex.cache.fr,psym_s1_[date]_20
psym_s1_[date]_22,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,22,48,1,22,promethee,commun,OPER,MAJ22,vortex.cache.fr,psym_s1_[date]_21
psym_s1_[date]_23,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,23,48,1,23,promethee,commun,OPER,MAJ23,vortex.cache.fr,psym_s1_[date]_22
psym_s3_[date]_01,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,3,96,3,1,promethee,commun,OPER,MAJ01,vortex.cache.fr,psym_s3_[date-1]_23
psym_s3_[date]_02,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,3,96,3,2,promethee,commun,OPER,MAJ02,vortex.cache.fr,psym_s3_[date]_01
psym_s3_[date]_03,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,3,96,3,3,promethee,commun,OPER,MAJ03,vortex.cache.fr,psym_s3_[date]_02
psym_s3_[date]_04,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,6,96,3,4,promethee,commun,OPER,MAJ04,vortex.cache.fr,psym_s3_[date]_03
psym_s3_[date]_05,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,6,96,3,5,promethee,commun,OPER,MAJ05,vortex.cache.fr,psym_s3_[date]_04
psym_s3_[date]_06,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,6,96,3,6,promethee,commun,OPER,MAJ06,vortex.cache.fr,psym_s3_[date]_05
psym_s3_[date]_07,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,9,96,3,7,promethee,commun,OPER,MAJ07,vortex.cache.fr,psym_s3_[date]_06
psym_s3_[date]_08,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,9,96,3,8,promethee,commun,OPER,MAJ08,vortex.cache.fr,psym_s3_[date]_07
psym_s3_[date]_09,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,9,96,3,9,promethee,commun,OPER,MAJ09,vortex.cache.fr,psym_s3_[date]_08
psym_s3_[date]_10,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,12,96,3,10,promethee,commun,OPER,MAJ10,vortex.cache.fr,psym_s3_[date]_09
psym_s3_[date]_11,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,12,96,3,11,promethee,commun,OPER,MAJ11,vortex.cache.fr,psym_s3_[date]_10
psym_s3_[date]_12,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,12,96,3,12,promethee,commun,OPER,MAJ12,vortex.cache.fr,psym_s3_[date]_11
psym_s3_[date]_13,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,15,96,3,13,promethee,commun,OPER,MAJ13,vortex.cache.fr,psym_s3_[date]_12
psym_s3_[date]_14,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,15,96,3,14,promethee,commun,OPER,MAJ14,vortex.cache.fr,psym_s3_[date]_13
psym_s3_[date]_15,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,15,96,3,15,promethee,commun,OPER,MAJ15,vortex.cache.fr,psym_s3_[date]_14
psym_s3_[date]_16,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,18,96,3,16,promethee,commun,OPER,MAJ16,vortex.cache.fr,psym_s3_[date]_15
psym_s3_[date]_17,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,18,96,3,17,promethee,commun,OPER,MAJ17,vortex.cache.fr,psym_s3_[date]_16
psym_s3_[date]_18,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,18,96,3,18,promethee,commun,OPER,MAJ18,vortex.cache.fr,psym_s3_[date]_17
psym_s3_[date]_19,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,21,96,3,19,promethee,commun,OPER,MAJ19,vortex.cache.fr,psym_s3_[date]_18
psym_s3_[date]_20,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,21,96,3,20,promethee,commun,OPER,MAJ20,vortex.cache.fr,psym_s3_[date]_19
psym_s3_[date]_21,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,21,96,3,21,promethee,commun,OPER,MAJ21,vortex.cache.fr,psym_s3_[date]_20
psym_s3_[date]_22,gridpoint,sympo,0,utc,franxl1s100,production,historic,grib,24,96,3,22,promethee,commun,OPER,MAJ22,vortex.cache.fr,psym_s3_[date]_21
