species	BM	log10BM	log10BM-cat	midlat	midlat-cat	type
Acrecebus_fraileyi	12000.0	4.08	3	NA	1	3_1
Alouatta_belzebul	6395.0	3.81	3	-5.17	1	3_1
Alouatta_caraya	5375.0	3.73	3	-19.77	1	3_1
Alouatta_coibensis	NA	NA	NA	NA	2	?
Alouatta_guariba	5362.5	3.73	3	-22.27	1	3_1
Alouatta_macconnelli	6292.5	3.8	3	3.74	1	3_1
Alouatta_nigerrima	NA	NA	NA	-5.48	1	?
Alouatta_palliata	6250.0	3.8	3	7.12	1	3_1
Alouatta_pigra	8915.0	3.95	3	18.3	2	3_2
Alouatta_sara	6123.0	3.79	3	-14.07	1	3_1
Alouatta_seniculus	5950.0	3.77	3	0.6	1	3_1
Antillothrix_bernensis	1500.0	3.18	2	18.37	2	2_2
Aotus_azarae	1205.0	3.08	2	-12.84	1	2_1
Aotus_dindensis	1054.0	3.02	2	-3.22	1	2_1
Aotus_griseimembra	966.0	2.98	1	6.65	1	1_1
Aotus_infulatus	NA	NA	NA	NA	1	?
Aotus_lemurinus	896.0	2.95	1	1.86	1	1_1
Aotus_nancymaae	787.0	2.9	1	-5.44	1	1_1
Aotus_nigriceps	957.5	2.98	1	-7.89	1	1_1
Aotus_trivirgatus	774.5	2.89	1	2.28	1	1_1
Aotus_vociferans	703.0	2.85	1	-0.96	1	1_1
Ateles_belzebuth	7770.0	3.89	3	-0.33	1	3_1
Ateles_chamek	9370.0	3.97	3	-9.71	1	3_1
Ateles_fusciceps	9025.0	3.96	3	4.04	1	3_1
Ateles_geoffroyi	7535.0	3.88	3	15.66	2	3_2
Ateles_hybridus	8700.5	3.94	3	8.27	1	3_1
Ateles_paniscus	8775.0	3.94	3	2.57	1	3_1
Brachyteles_arachnoides	8840.0	3.95	3	-23.9	0	3_0
Brachyteles_hypoxanthus	8874.5	3.95	3	-19.05	1	3_1
Branisella_boliviana	1000.0	3.0	2	-17.1	1	2_1
Cacajao_ayresi	NA	NA	NA	-0.1	1	?
Cacajao_calvus	3165.0	3.5	3	-6.61	1	3_1
Cacajao_hosomi	3800.0	3.58	3	1.38	1	3_1
Cacajao_melanocephalus	2935.0	3.47	2	0.06	1	2_1
Caipora_bambuiorum	24000.0	4.38	3	-10.16	1	3_1
Callicebus_brunneus	829.5	2.92	1	-10.58	1	1_1
Callicebus_caligatus	880.0	2.94	1	-4.95	1	1_1
Callicebus_coimbrai	NA	NA	NA	-11.19	1	?
Callicebus_cupreus	1070.0	3.03	2	-6.67	1	2_1
Callicebus_donacophilus	950.0	2.98	1	-14.8	1	1_1
Callicebus_hoffmansi	1060.0	3.03	2	-4.18	1	2_1
Callicebus_lugens	1090.0	3.04	2	3.42	1	2_1
Callicebus_moloch	988.0	2.99	1	-7.86	1	1_1
Callicebus_nigrifrons	NA	NA	NA	-21.32	1	?
Callicebus_personatus	1245.0	3.1	2	-18.76	1	2_1
Callicebus_torquatus	1245.0	3.1	2	-1.68	1	2_1
Callimico_goeldii	483.5	2.68	0	-5.6	1	0_1
Callithrix_aurita	429.0	2.63	0	-21.99	1	0_1
Callithrix_geoffroyi	359.0	2.56	0	-17.9	1	0_1
Callithrix_jacchus	320.5	2.51	0	-7.86	1	0_1
Callithrix_kuhlii	375.0	2.57	0	-15.1	1	0_1
Callithrix_penicillata	325.5	2.51	0	-14.87	1	0_1
Canaanimico	2000.0	3.3	2	-7.35	1	2_1
Carlocebus_carmenensis	3500.0	3.54	3	-47.02	0	3_0
Cartelles_coimbrafilhoi	23500.0	4.37	3	-10.16	1	3_1
Cebuella_pygmaea	116.0	2.06	0	-5.09	1	0_1
Cebupithecia_sarmientoi	1602.0	3.2	2	-3.22	1	2_1
Cebus_albifrons	2735.0	3.44	2	-1.52	1	2_1
Cebus_capucinus	3110.0	3.49	3	7.75	1	3_1
Cebus_olivaceus	2905.0	3.46	2	4.5	1	2_1
Chilecebus_carrascoensis	1000.0	3.0	2	-34.88	0	2_0
Chiropotes_chiropotes	2740.0	3.44	2	2.45	1	2_1
Chiropotes_israelita	NA	NA	NA	NA	1	?
Chiropotes_utahicki	2740.0	3.44	2	-3.49	1	2_1
Dolichocebus_gaimanensis	2700.0	3.43	2	-43.36	0	2_0
Homunculus_patagonicus	2700.0	3.43	2	-51.22	0	2_0
Insulacebus_toussentiana	4805.0	3.68	3	18.33	2	3_2
Killikaike_blakei	2000.0	3.3	2	-51.57	0	2_0
Lagonimico_conclucatus	595.0	2.77	1	-3.22	1	1_1
Lagothrix_cana	8571.5	3.93	3	-8.58	1	3_1
Lagothrix_lagotricha	7150.0	3.85	3	-0.15	1	3_1
Laventiana_annectens	605.0	2.78	1	-3.22	1	1_1
Leontopithecus_chrysomelas	577.5	2.76	1	-15.07	1	1_1
Leontopithecus_chrysopygus	577.5	2.76	1	-23.24	1	1_1
Leontopithecus_rosalia	609.0	2.78	1	-22.64	1	1_1
Mazzonicebus_almendrae	1602.0	3.2	2	-45.71	0	2_0
Mico_argentatus	346.5	2.54	0	-2.83	1	0_1
Mico_emiliae	321.5	2.51	0	-9.83	1	0_1
Mico_humeralifer	473.5	2.68	0	-4.36	1	0_1
Mico_mauesi	371.5	2.57	0	-5.35	1	0_1
Micodon_kyotensis	400.0	2.6	0	-3.22	1	0_1
Miocallicebus_villaviejai	1500.0	3.18	2	-3.22	1	2_1
Mohanamico_hershkovitzi	1000.0	3.0	2	-3.22	1	2_1
Neosaimiri_fieldsi	768.0	2.89	1	-3.22	1	1_1
