species	BM	log10BM	log10BM-cat	midlat	midlat-cat	type
Nuciruptor_rubricae	2000.0	3.3	2	-3.22	1	2_1
Panamacebus_transitus	2700.0	3.43	2	9.03	2	2_2
Paralouatta_varonai	8444.0	3.93	3	22.4	2	3_2
Patasola_magdalenae	480.0	2.68	0	-3.22	1	0_1
Perupithecus_ucayaliensis	400.0	2.6	0	-9.49	1	0_1
Pithecia_irrorata	2160.0	3.33	2	-7.54	1	2_1
Pithecia_monachus	2360.0	3.37	2	-4.87	1	2_1
Pithecia_pithecia	1760.0	3.25	2	2.47	1	2_1
Proteropithecia_neuquenensis	1600.0	3.2	2	-40.04	0	2_0
Saguinus_bicolor	429.0	2.63	0	-2.95	1	0_1
Saguinus_fuscicollis	350.5	2.54	0	-6.22	1	0_1
Saguinus_geoffroyi	492.0	2.69	0	6.58	1	0_1
Saguinus_graellsi	474.5	2.68	0	-1.96	1	0_1
Saguinus_imperator	585.0	2.77	1	-9.7	1	1_1
Saguinus_labiatus	514.5	2.71	1	-6.49	1	1_1
Saguinus_martinsi	492.0	2.69	0	-1.68	1	0_1
Saguinus_melanoleucus	NA	NA	NA	-8.41	1	?
Saguinus_midas	545.0	2.74	1	1.77	1	1_1
Saguinus_mystax	524.5	2.72	1	-6.14	1	1_1
Saguinus_nigricollis	476.0	2.68	0	-0.82	1	0_1
Saguinus_oedipus	411.0	2.61	0	8.98	2	0_2
Saguinus_tripartitus	871.5	2.94	1	-1.42	1	1_1
Saimiri_boliviensis	788.5	2.9	1	-10.31	1	1_1
Saimiri_oerstedii	767.25	2.88	1	8.91	2	1_2
Saimiri_sciureus	852.5	2.93	1	-3.33	1	1_1
Saimiri_ustus	800.0	2.9	1	-8.69	1	1_1
Sapajus_apella	3085.0	3.49	3	-2.76	1	3_1
Sapajus_libidinosus	2509.779135	3.4	2	-11.96	1	2_1
Sapajus_robustus	2730.833333	3.44	2	-17.73	1	2_1
Sapajus_xanthosternos	2440.47619	3.39	2	-12.75	1	2_1
Solimoea_acrensis	8000.0	3.9	3	-10.93	1	3_1
Soriacebus_ameghinorum	1483.0	3.17	2	-47.02	0	2_0
Stirtonia_tatacoensis	5513.0	3.74	3	-3.22	1	3_1
Stirtonia_victoriae	10000.0	4.0	3	-3.22	1	3_1
Szalatavus_attricuspis	550.0	2.74	1	-17.1	1	1_1
Tremacebus_harringtoni	1800.0	3.26	2	-42.52	0	2_0
Xenothrix_mcgregori	5720.0	3.76	3	17.73	2	3_2
