Name,Beamline,Position,Period,Naming,Nper,Length (m),Min. gap (mm),Max_Ky,Max_Kx,By_peak(T),Bx_peak(T),a0,a1,a2,a3,a4,a5,a6
EU100,Nanospectroscopy,S01LS,100.4,ID_S01.01,20,2,19,9.6,7.3,1.02,0.78,,,,,,,
EU100,NanoESCA,S01LS,100.4,ID_S01.02,20,2,19,9.6,7.3,1.02,0.78,,,,,,,
APU,TwinMic,S02SS,39.6,SHID_S02.01,19,0.8,,3,,0.82,,,,,,,,
U46,SuperESCA,S02LS,46,ID_S02.01,49,2.254,13.5,4,,0.92,,,,,,,,
U46,ESCAMicroscopy,S02LS,46,ID_S02.02,49,2.254,13.5,4,,0.92,,,,,,,,
Figure-8,Spectroµ,S03LS,140,ID_S03.01,16,2.2,19,9.8,3.6,0.75,0.14,,,,,,,
Figure-8,BADEIPh,S03LS,140,ID_S03.02,16,2.2,19,9.8,3.6,0.75,0.14,,,,,,,
EU50,MOST-HE,S04LS,50.4,ID_S04.01,28,1.5,12,4,2.9,0.85,0.62,,,,,,,
EU132,MOST-LE,S04LS,132,ID_S04.02,18,2.6,,4.9,8,0.4,0.65,,,,,,,
W96,XRD1,S05SS,96.4,SHID_S05.01,7.5,0.8,,16.5,,1.83,,,,,,,,
IVU17,µXRD,S05LS,17.2,ID_S05.01,116,2,5.2,1.6,,0.97,,3.694,-5.068,1.52,,,,
W96,XAS-mW,S06SS,96.4,SHID_S06.01,7.5,0.8,,16.5,,1.83,,,,,,,,
EU44,CDI,S06LS,44,ID_S06.01,90,4.2,12,2.4,2.4,0.58,0.58,,,,,,,
Twin-APU,ALOISA,S07SS,75.6,ID_S06.01,10,0.8,,3,,0.43,,,,,,,,
Twin-APU,NAP-XPS,S07SS,39.6,ID_S06.02,19,0.8,,1.7,,0.45,,,,,,,,
IVU22,µXRF,S07LS,22,ID_S07.01,90,2,5.2,2.6,,1.27,,3.694,-5.068,1.52,,,,
EU47,BACH-HE,S08LS,47,ID_S08.01,42,2,12,2.7,2.7,0.62,0.62,,,,,,,
EU77,BACH-LE,S08LS,77,ID_S08.02,28,2.1,19,6.6,4.6,0.92,0.64,,,,,,,
EU125,APE-LE,S09LS,125.36,ID_S09.01,17,2.1,18.6,9,6.9,0.77,0.6,,,,,,,
EU44,APE-HE,S09LS,44,ID_S09.02,45,2.1,12,2.4,2.4,0.58,0.58,,,,,,,
IVU17,HB-SAXS,S05LS,17.2,ID_S05.01,116,2,5.2,1.6,,1.6,0.97,3.694,-5.068,1.52,,,,
EU32,APE-TX,S11SS,32.4,SHID_S11.01,22,0.8,,2.5,1.9,0.83,0.61,,,,,,,
SCW,HF-SAXS/MCX/Xpress,S11LS,64,ID_S11.01,24.5,1.5,,19.6,,3.5,,,,,,,,
