pc1	pc2	#SNP	iid	pop
-0.008015879101453812	0.002586382427973995	112387	ABA-035.HO	Karachai.HO
-0.012937582160596844	0.0026143370367836785	112268	ABA-048.HO	Karachai.HO
-0.013003777758721274	0.0026388694090781917	112324	ABA-052.HO	Karachai.HO
-0.011016204070765163	0.006570694284735559	112369	ABA-056.HO	Karachai.HO
-0.006290678316056567	0.00476225444201721	112225	ABA-065.HO	Karachai.HO
-0.010957826311664096	0.001749946913610129	112483	ABA-069.HO	Karachai.HO
-0.011772297184880322	0.0016883295360926478	112503	ABA-078.HO	Karachai.HO
-0.011375043716235959	0.003536289704561169	112514	ABA-085.HO	Karachai.HO
-0.0075281779033685055	-0.001359644726183996	112364	ABA-086.HO	Karachai.HO
-0.011063717054173586	0.004548351811604353	112502	ABA-091.HO	Karachai.HO
-0.009569264479427662	0.0028942967850704325	112388	ABA-099.HO	Karachai.HO
-0.011451885152824299	0.00032652176726244116	112498	ABA-100.HO	Karachai.HO
-0.013873279770413534	0.003150182324194639	112422	Adg-185.HO	Adygei.HO
-0.009784367418768692	0.005118900573623958	112403	Adg-192.HO	Adygei.HO
-0.011851732159186664	0.001895289419968827	112474	Adg-194.HO	Adygei.HO
-0.008193471302183378	0.003694260137251941	112369	Adg-222.HO	Adygei.HO
-0.007869812514840204	0.0008842944492739796	112245	Adg-224.HO	Adygei.HO
-0.013057843101256449	0.0041329641445933705	112452	Adg-226.HO	Adygei.HO
-0.011290403944541503	0.005088921487040217	112460	Adg-227.HO	Adygei.HO
-0.01043729696391114	0.003858418158273608	112474	Adg-238.HO	Adygei.HO
-0.025078718424850887	-0.0007233448158652085	111748	ARK-59.HO	Armenian_Hemsheni.HO
-0.0067937375735027065	0.009310063551770286	112358	ARK-72.HO	Armenian_Hemsheni.HO
-0.02513006319726979	0.0024027044228911096	112425	ARK-76.HO	Armenian_Hemsheni.HO
-0.027636638702479257	0.0007315241220155908	112380	ARK-78.HO	Armenian_Hemsheni.HO
-0.02645561798523868	0.0017634372071983595	112401	ARK-82.HO	Armenian_Hemsheni.HO
-0.022158628311405644	0.0009272330098065107	112413	ARK-84.HO	Armenian_Hemsheni.HO
-0.02417644464919108	0.0003929257254502204	112297	ARK-88.HO	Armenian_Hemsheni.HO
-0.02233558273671658	0.001871976511803145	112502	ARK-89.HO	Armenian_Hemsheni.HO
-0.01119410057757201	0.0023445989844917644	112474	AZR-0853.HO	Azeri.HO
-0.012691968593245341	0.0017684816740663064	112439	AZR-0860.HO	Azeri.HO
-0.01564525146200995	0.0027930395538204996	112442	AZR-0864.HO	Azeri.HO
-0.017345691632179583	0.003504878436313993	112483	AZR-0865.HO	Azeri.HO
-0.013939779569970124	0.00041746524466012853	112463	AZR-0866.HO	Azeri.HO
-0.013198151559535222	0.005322584058601165	112393	AZR-0868.HO	Azeri.HO
-0.014005816715966023	0.0031773545927578205	112432	AZR-0869.HO	Azeri.HO
-0.015266445831650993	6.071800735121987e-06	112504	AZR-0870.HO	Azeri.HO
-0.012423053203340714	0.0022685523093164267	112288	AZR-1010.HO	Azeri.HO
-0.01652737445212901	0.005293812973620402	112327	AZR-1012.HO	Azeri.HO
-0.019905874832353843	0.0008203001322396803	112020	AZR-1013.HO	Azeri.HO
-0.015199485063788544	0.004063332867783343	112421	AZR-1017.HO	Azeri.HO
-0.018753533915527747	0.0034138225930961685	112270	AZR-1018.HO	Azeri.HO
-0.01786791130754958	0.0026293501523665967	112313	AZR-1037.HO	Azeri.HO
-0.017254810253616686	0.004419370978153319	111849	AZR-1039.HO	Azeri.HO
-0.019493343851741	0.004721428248868532	112474	AZR-1054.HO	Azeri.HO
-0.01588948452948275	0.0014384704415618761	112485	AZR-1058.HO	Azeri.HO
-0.011027795613844852	0.0023658844384732486	112154	CHRK-544.HO	Circassian.HO
-0.0071124954802538965	0.0008057369503950622	112377	DAG-090.HO	Tabasaran.HO
-0.008029001441673725	0.0009665529528690231	112397	DAG-122.HO	Tabasaran.HO
-0.007126049008108799	-0.0027489470153305756	111160	DAG-123.HO	Tabasaran.HO
-0.004650821555627457	-0.0016776479935516086	112409	DAG-124.HO	Tabasaran.HO
-0.006034051856652021	0.0010069382957693905	112424	DAG-127.HO	Tabasaran.HO
-0.005104175108004608	-0.00016659323720730044	112448	DAG-146.HO	Darginian.HO
-0.010189477298413175	0.0014582133408915154	112407	DAG-147.HO	Tabasaran.HO
-0.008393992184097768	0.0023654060391002743	112461	DAG-152.HO	Tabasaran.HO
-0.010724652104831938	0.0019031568956738951	112449	DAG-160.HO	Tabasaran.HO
-0.002475979975531363	-0.0014888838565123722	112461	DAG-161.HO	Darginian.HO
0.0009685588808484634	-0.0020716834863362325	112449	DAG-165.HO	Darginian.HO
-0.0002892603424225308	-2.8252301091536306e-05	112412	DAG-178.HO	Tabasaran.HO
-0.0044263907946988455	-0.0007390668207250255	112505	DAG-180.HO	Kubachinian.HO
-0.006583726044519425	-0.006603572283031291	111970	DAG-183.HO	Tabasaran.HO
-0.006300410685461258	0.0005181182911609687	112499	DAG-200.HO	Kubachinian.HO
-0.0024750974272593085	-0.002047829752568503	112438	DAG-205.HO	Kubachinian.HO
-0.004535994719119983	-0.004070417803722184	112530	DAG-206.HO	Darginian.HO
-0.00473019787081561	-0.0045787331149195545	112523	DAG-210.HO	Kubachinian.HO
-0.006149908409353527	-0.002659354395744704	112456	DAG-211.HO	Kubachinian.HO
-0.006321840590729466	0.0015614066135386233	112512	DAG-213.HO	Kubachinian.HO
-0.005159087019488836	-0.001501685743336696	112545	DAG-225.HO	Darginian.HO
-0.005681346994565881	-0.002231383240757966	111683	DAG-231.HO	Darginian.HO
-0.005196958003593607	-0.0016839331539638715	112367	DAG-232.HO	Darginian.HO
-0.005233440720831155	0.00585811982640235	112466	DAG-325.HO	Lak.HO
-0.004929150600157413	0.0005001220839290891	112466	DAG-335.HO	Lak.HO
-0.0028317602632593982	0.0008593658765771253	112419	DAG-336.HO	Lak.HO
-0.00459066121812547	-0.0002942333322533444	112524	DAG-344.HO	Lak.HO
-0.005525693371831418	0.00010284899571827818	112462	DAG-350.HO	Darginian.HO
-0.00590441942582325	0.0012718988726559302	112512	DAG-371.HO	Lak.HO
-0.004458769207684542	-0.00013494573218914558	112439	DAG-372.HO	Lak.HO
-0.0043293351292732615	0.0036183362557657118	112481	DAG-376.HO	Lak.HO
-0.006115848207448918	0.0008952981950473965	112538	DAG-388.HO	Lak.HO
-0.004077708482055739	-0.0008106873353380055	112529	DAG-390.HO	Lak.HO
-0.004264270925118278	0.000501798144373132	112348	DAG-400.HO	Lak.HO
-0.008580971112762084	-0.0019255030450134375	112454	DAG-448.HO	Avar.HO
-0.006685131079361476	-0.003197654092230708	112497	DAG-461.HO	Avar.HO
-0.002435378088131054	-0.000291737390535838	112532	DAG-474.HO	Avar.HO
-0.004063114336138778	-0.000415118841723677	112442	DAG-477.HO	Avar.HO
-0.0011109057531342602	-0.0005996028605423707	112443	DAG-485.HO	Avar.HO
-0.0018321156760469173	-0.0014600986737796644	112451	DAG-492.HO	Avar.HO
-0.004389450238220078	0.001974048633192148	112477	DAG-506.HO	Avar.HO
-0.006120267875293677	-0.0022351728016589806	112476	DAG-515.HO	Avar.HO
-0.007038718758861703	-0.000820501683645397	112466	DAG06-260.HO	Kaitag.HO
-0.006454826385714789	-3.488681826426988e-05	112479	DAG06-261.HO	Kaitag.HO
-0.006481981269173224	0.000443491279971963	112382	DAG06-262.HO	Kaitag.HO
-0.007167251681575346	-0.0005277772123231695	112492	DAG06-578.HO	Kaitag.HO
-0.005212611371071873	0.0018634223408805848	112449	DAG06-786.HO	Kaitag.HO
-0.0037461239814757727	-0.0023588280064156925	112416	DAG06-824.HO	Kaitag.HO
-0.000504656919172351	0.000563072832110989	112459	DAG06-826.HO	Kaitag.HO
-0.007539510954126128	-0.001773847951160676	112441	DAG06-830.HO	Kaitag.HO
-0.015052075832386685	0.0026960498680531613	111516	EZI-001.HO	Ezid.HO
-0.014666054816782364	0.0012485137436998796	110718	EZI-010.HO	Ezid.HO
-0.018775788679338417	0.00148077676558893	111087	EZI-012.HO	Ezid.HO
-0.019006249295389785	0.003433512591320741	111809	EZI-013.HO	Ezid.HO
-0.018623703249218176	0.0007063923808207643	111844	EZI-020.HO	Ezid.HO
-0.02082631444224945	0.001356191796154106	109536	EZI-029.HO	Ezid.HO
-0.020693762846181154	0.00229998864424283	111784	EZI-060.HO	Ezid.HO
-0.01775283887598975	0.006819810828029221	111758	EZI-074.HO	Ezid.HO
-0.02208536408488255	0.0023324185824326435	109282	GEO-002.HO	Georgian.HO
-0.01838713765643812	0.0028372507971033975	112479	GEO-005.HO	Georgian.HO
-0.024116396216261698	0.0013618681840096118	112436	GEO-010.HO	Georgian.HO
