category,conf_mode,size_threshold_mode,min_identity_mode,max_mismatches_mode,kmer_size_mode,min_overlap_mode
antibodies,0.88,10,0.9,10,,3
binders,0.9,0,0.6,14,,3
bsa,0.88,10,0.6,14,,3
nanobodies,0.88,10,0.9,10,,3
