category,run,ass_method,source,total_sequences,total_sequences_scaled,max_length,max_length_scaled,N50,N50_scaled,coverage,coverage_scaled,composite_score
binders,BIND15,greedy,comb_greedy_c0.9_ts5_mo3_mi0.9_mm10,9,0.972,53,0.195,34,0.177,0.806,0.737,0.538
binders,BIND16,greedy,comb_greedy_c0.9_ts0_mo3_mi0.6_mm14,33,0.876,37,0.087,21,0.077,0.798,0.725,0.482
binders,BIND17,greedy,comb_greedy_c0.92_ts10_mo3_mi0.6_mm14,21,0.924,73,0.329,26,0.115,0.958,0.943,0.631
