wavelength_in_um,n,k
1.538460016250610352e+00,2.463059902191162109e+00,2.999999924213625491e-05
1.539409995079040527e+00,2.463049888610839844e+00,2.999999924213625491e-05
1.540359973907470703e+00,2.463040113449096680e+00,2.999999924213625491e-05
1.541309952735900879e+00,2.463020086288452148e+00,2.999999924213625491e-05
1.542260050773620605e+00,2.463010072708129883e+00,2.999999924213625491e-05
1.543210029602050781e+00,2.463000059127807617e+00,2.999999924213625491e-05
1.544160008430480957e+00,2.462990045547485352e+00,2.999999924213625491e-05
1.545120000839233398e+00,2.462970018386840820e+00,2.999999924213625491e-05
1.546069979667663574e+00,2.462960004806518555e+00,2.999999924213625491e-05
1.547029972076416016e+00,2.462949991226196289e+00,2.999999924213625491e-05
1.547989964485168457e+00,2.462929964065551758e+00,2.999999924213625491e-05
1.548949956893920898e+00,2.462919950485229492e+00,2.999999924213625491e-05
1.549909949302673340e+00,2.462909936904907227e+00,2.999999924213625491e-05
1.550869941711425781e+00,2.462899923324584961e+00,2.999999924213625491e-05
1.551830053329467773e+00,2.462879896163940430e+00,2.999999924213625491e-05
1.552800059318542480e+00,2.462869882583618164e+00,2.999999924213625491e-05
1.553760051727294922e+00,2.462860107421875000e+00,2.999999924213625491e-05
1.554730057716369629e+00,2.462840080261230469e+00,2.999999924213625491e-05
1.555690050125122070e+00,2.462830066680908203e+00,2.999999924213625491e-05
1.556660056114196777e+00,2.462820053100585938e+00,2.999999924213625491e-05
1.557629942893981934e+00,2.462800025939941406e+00,2.999999924213625491e-05
1.558599948883056641e+00,2.462790012359619141e+00,2.999999924213625491e-05
1.559579968452453613e+00,2.462779998779296875e+00,2.999999924213625491e-05
1.560549974441528320e+00,2.462759971618652344e+00,2.999999924213625491e-05
1.561519980430603027e+00,2.462749958038330078e+00,2.999999924213625491e-05
1.562500000000000000e+00,2.462739944458007812e+00,2.999999924213625491e-05
1.563480019569396973e+00,2.462719917297363281e+00,2.999999924213625491e-05
1.564460039138793945e+00,2.462709903717041016e+00,2.999999924213625491e-05
1.565440058708190918e+00,2.462699890136718750e+00,2.999999924213625491e-05
1.566419959068298340e+00,2.462680101394653320e+00,2.999999924213625491e-05
1.567399978637695312e+00,2.462670087814331055e+00,2.999999924213625491e-05
1.568379998207092285e+00,2.462660074234008789e+00,2.999999924213625491e-05
1.569370031356811523e+00,2.462640047073364258e+00,2.999999924213625491e-05
1.570350050926208496e+00,2.462630033493041992e+00,2.999999924213625491e-05
1.571339964866638184e+00,2.462620019912719727e+00,2.999999924213625491e-05
1.572329998016357422e+00,2.462599992752075195e+00,2.999999924213625491e-05
1.573320031166076660e+00,2.462589979171752930e+00,2.999999924213625491e-05
1.574309945106506348e+00,2.462579965591430664e+00,2.999999924213625491e-05
1.575299978256225586e+00,2.462559938430786133e+00,2.999999924213625491e-05
1.576290011405944824e+00,2.462549924850463867e+00,2.999999924213625491e-05
1.577290058135986328e+00,2.462529897689819336e+00,2.999999924213625491e-05
1.578279972076416016e+00,2.462519884109497070e+00,2.999999924213625491e-05
1.579280018806457520e+00,2.462510108947753906e+00,2.999999924213625491e-05
1.580279946327209473e+00,2.462490081787109375e+00,2.999999924213625491e-05
1.581279993057250977e+00,2.462480068206787109e+00,2.999999924213625491e-05
1.582280039787292480e+00,2.462460041046142578e+00,2.999999924213625491e-05
1.583279967308044434e+00,2.462450027465820312e+00,2.999999924213625491e-05
1.584280014038085938e+00,2.462440013885498047e+00,2.999999924213625491e-05
1.585289955139160156e+00,2.462419986724853516e+00,2.999999924213625491e-05
1.586290001869201660e+00,2.462409973144531250e+00,2.999999924213625491e-05
1.587299942970275879e+00,2.462399959564208984e+00,2.999999924213625491e-05
1.588310003280639648e+00,2.462379932403564453e+00,2.999999924213625491e-05
1.589319944381713867e+00,2.462369918823242188e+00,2.999999924213625491e-05
1.590330004692077637e+00,2.462349891662597656e+00,2.999999924213625491e-05
1.591339945793151855e+00,2.462340116500854492e+00,2.999999924213625491e-05
1.592360019683837891e+00,2.462320089340209961e+00,2.999999924213625491e-05
1.593369960784912109e+00,2.462310075759887695e+00,2.999999924213625491e-05
1.594390034675598145e+00,2.462300062179565430e+00,2.999999924213625491e-05
1.595409989356994629e+00,2.462280035018920898e+00,2.999999924213625491e-05
1.596420049667358398e+00,2.462270021438598633e+00,2.999999924213625491e-05
1.597440004348754883e+00,2.462249994277954102e+00,2.999999924213625491e-05
1.598469972610473633e+00,2.462239980697631836e+00,2.999999924213625491e-05
1.599490046501159668e+00,2.462229967117309570e+00,2.999999924213625491e-05
1.600510001182556152e+00,2.462209939956665039e+00,2.999999924213625491e-05
1.601539969444274902e+00,2.462199926376342773e+00,2.999999924213625491e-05
1.602560043334960938e+00,2.462179899215698242e+00,2.999999924213625491e-05
1.603590011596679688e+00,2.462169885635375977e+00,2.999999924213625491e-05
1.604619979858398438e+00,2.462150096893310547e+00,2.999999924213625491e-05
1.605649948120117188e+00,2.462140083312988281e+00,2.999999924213625491e-05
1.606680035591125488e+00,2.462120056152343750e+00,2.999999924213625491e-05
1.607720017433166504e+00,2.462110042572021484e+00,2.999999924213625491e-05
1.608749985694885254e+00,2.462100028991699219e+00,3.999999898951500654e-05
1.609789967536926270e+00,2.462080001831054688e+00,3.999999898951500654e-05
1.610820055007934570e+00,2.462069988250732422e+00,3.999999898951500654e-05
1.611860036849975586e+00,2.462049961090087891e+00,3.999999898951500654e-05
1.612900018692016602e+00,2.462039947509765625e+00,3.999999898951500654e-05
1.613940000534057617e+00,2.462019920349121094e+00,3.999999898951500654e-05
1.614989995956420898e+00,2.462009906768798828e+00,3.999999898951500654e-05
1.616029977798461914e+00,2.461990118026733398e+00,3.999999898951500654e-05
1.617079973220825195e+00,2.461980104446411133e+00,3.999999898951500654e-05
1.618119955062866211e+00,2.461960077285766602e+00,3.999999898951500654e-05
1.619169950485229492e+00,2.461950063705444336e+00,3.999999898951500654e-05
1.620219945907592773e+00,2.461930036544799805e+00,3.999999898951500654e-05
1.621269941329956055e+00,2.461920022964477539e+00,3.999999898951500654e-05
1.622320055961608887e+00,2.461899995803833008e+00,3.999999898951500654e-05
1.623379945755004883e+00,2.461889982223510742e+00,3.999999898951500654e-05
1.624429941177368164e+00,2.461869955062866211e+00,3.999999898951500654e-05
1.625489950180053711e+00,2.461859941482543945e+00,3.999999898951500654e-05
1.626549959182739258e+00,2.461839914321899414e+00,3.999999898951500654e-05
1.627599954605102539e+00,2.461829900741577148e+00,3.999999898951500654e-05
1.628659963607788086e+00,2.461810111999511719e+00,3.999999898951500654e-05
1.629729986190795898e+00,2.461800098419189453e+00,3.999999898951500654e-05
1.630789995193481445e+00,2.461780071258544922e+00,3.999999898951500654e-05
1.631850004196166992e+00,2.461770057678222656e+00,3.999999898951500654e-05
1.632920026779174805e+00,2.461750030517578125e+00,3.999999898951500654e-05
1.633990049362182617e+00,2.461740016937255859e+00,3.999999898951500654e-05
1.635059952735900879e+00,2.461719989776611328e+00,3.999999898951500654e-05
1.636129975318908691e+00,2.461709976196289062e+00,3.999999898951500654e-05
1.637199997901916504e+00,2.461689949035644531e+00,3.999999898951500654e-05
1.638270020484924316e+00,2.461669921875000000e+00,3.999999898951500654e-05
1.639340043067932129e+00,2.461659908294677734e+00,3.999999898951500654e-05
1.640419960021972656e+00,2.461639881134033203e+00,3.999999898951500654e-05
1.641499996185302734e+00,2.461630105972290039e+00,3.999999898951500654e-05
1.642580032348632812e+00,2.461610078811645508e+00,3.999999898951500654e-05
1.643659949302673340e+00,2.461600065231323242e+00,3.999999898951500654e-05
1.644739985466003418e+00,2.461580038070678711e+00,3.999999898951500654e-05
1.645820021629333496e+00,2.461570024490356445e+00,3.999999898951500654e-05
1.646900057792663574e+00,2.461549997329711914e+00,3.999999898951500654e-05
1.647989988327026367e+00,2.461529970169067383e+00,3.999999898951500654e-05
1.649080038070678711e+00,2.461519956588745117e+00,3.999999898951500654e-05
1.650169968605041504e+00,2.461499929428100586e+00,3.999999898951500654e-05
1.651250004768371582e+00,2.461489915847778320e+00,3.999999898951500654e-05
1.652349948883056641e+00,2.461469888687133789e+00,3.999999898951500654e-05
1.653439998626708984e+00,2.461460113525390625e+00,3.999999898951500654e-05
1.654530048370361328e+00,2.461440086364746094e+00,3.999999898951500654e-05
1.655629992485046387e+00,2.461420059204101562e+00,3.999999898951500654e-05
1.656730055809020996e+00,2.461410045623779297e+00,3.999999898951500654e-05
1.657819986343383789e+00,2.461390018463134766e+00,3.999999898951500654e-05
1.658929944038391113e+00,2.461380004882812500e+00,3.999999898951500654e-05
1.660030007362365723e+00,2.461359977722167969e+00,3.999999898951500654e-05
1.661129951477050781e+00,2.461339950561523438e+00,3.999999898951500654e-05
1.662230014801025391e+00,2.461329936981201172e+00,3.999999898951500654e-05
1.663339972496032715e+00,2.461309909820556641e+00,3.999999898951500654e-05
1.664450049400329590e+00,2.461289882659912109e+00,3.999999898951500654e-05
1.665560007095336914e+00,2.461280107498168945e+00,3.999999898951500654e-05
1.666669964790344238e+00,2.461260080337524414e+00,3.999999898951500654e-05
1.667780041694641113e+00,2.461250066757202148e+00,3.999999898951500654e-05
1.668889999389648438e+00,2.461230039596557617e+00,3.999999898951500654e-05
1.670009970664978027e+00,2.461210012435913086e+00,3.999999898951500654e-05
1.671120047569274902e+00,2.461199998855590820e+00,3.999999898951500654e-05
1.672240018844604492e+00,2.461179971694946289e+00,3.999999898951500654e-05
1.673359990119934082e+00,2.461159944534301758e+00,3.999999898951500654e-05
1.674479961395263672e+00,2.461149930953979492e+00,3.999999898951500654e-05
1.675600051879882812e+00,2.461129903793334961e+00,3.999999898951500654e-05
1.676730036735534668e+00,2.461110115051269531e+00,3.999999898951500654e-05
1.677850008010864258e+00,2.461100101470947266e+00,3.999999898951500654e-05
1.678979992866516113e+00,2.461080074310302734e+00,3.999999898951500654e-05
1.680109977722167969e+00,2.461060047149658203e+00,3.999999898951500654e-05
1.681239962577819824e+00,2.461050033569335938e+00,3.999999898951500654e-05
1.682369947433471680e+00,2.461030006408691406e+00,3.999999898951500654e-05
1.683500051498413086e+00,2.461009979248046875e+00,3.999999898951500654e-05
1.684640049934387207e+00,2.460999965667724609e+00,3.999999898951500654e-05
1.685770034790039062e+00,2.460979938507080078e+00,3.999999898951500654e-05
1.686910033226013184e+00,2.460959911346435547e+00,3.999999898951500654e-05
1.688050031661987305e+00,2.460949897766113281e+00,3.999999898951500654e-05
1.689190030097961426e+00,2.460930109024047852e+00,3.999999898951500654e-05
1.690330028533935547e+00,2.460910081863403320e+00,3.999999898951500654e-05
1.691470026969909668e+00,2.460900068283081055e+00,3.999999898951500654e-05
1.692620038986206055e+00,2.460880041122436523e+00,3.999999898951500654e-05
1.693770051002502441e+00,2.460860013961791992e+00,3.999999898951500654e-05
1.694919943809509277e+00,2.460839986801147461e+00,3.999999898951500654e-05
1.696069955825805664e+00,2.460829973220825195e+00,3.999999898951500654e-05
1.697219967842102051e+00,2.460809946060180664e+00,3.999999898951500654e-05
1.698369979858398438e+00,2.460789918899536133e+00,3.999999898951500654e-05
1.699519991874694824e+00,2.460769891738891602e+00,3.999999898951500654e-05
1.700680017471313477e+00,2.460760116577148438e+00,3.999999898951500654e-05
1.701840043067932129e+00,2.460740089416503906e+00,3.999999898951500654e-05
1.702999949455261230e+00,2.460720062255859375e+00,3.999999898951500654e-05
1.704159975051879883e+00,2.460710048675537109e+00,3.999999898951500654e-05
1.705320000648498535e+00,2.460690021514892578e+00,3.999999898951500654e-05
1.706480026245117188e+00,2.460669994354248047e+00,3.999999898951500654e-05
1.707649946212768555e+00,2.460649967193603516e+00,3.999999898951500654e-05
1.708819985389709473e+00,2.460629940032958984e+00,3.999999898951500654e-05
1.709990024566650391e+00,2.460619926452636719e+00,3.999999898951500654e-05
