wavelength_in_um,n,k
1.539409995079040527e+00,1.621580004692077637e+00,7.999999797903001308e-05
1.540359973907470703e+00,1.621569991111755371e+00,7.999999797903001308e-05
1.541309952735900879e+00,1.621559977531433105e+00,7.999999797903001308e-05
1.542260050773620605e+00,1.621549963951110840e+00,7.999999797903001308e-05
1.543210029602050781e+00,1.621530055999755859e+00,7.999999797903001308e-05
1.544160008430480957e+00,1.621520042419433594e+00,7.999999797903001308e-05
1.545120000839233398e+00,1.621510028839111328e+00,7.999999797903001308e-05
1.546069979667663574e+00,1.621500015258789062e+00,7.999999797903001308e-05
1.547029972076416016e+00,1.621490001678466797e+00,7.999999797903001308e-05
1.547989964485168457e+00,1.621479988098144531e+00,7.999999797903001308e-05
1.548949956893920898e+00,1.621469974517822266e+00,7.999999797903001308e-05
1.549909949302673340e+00,1.621449947357177734e+00,7.999999797903001308e-05
1.550869941711425781e+00,1.621440052986145020e+00,7.999999797903001308e-05
1.551830053329467773e+00,1.621430039405822754e+00,7.999999797903001308e-05
1.552800059318542480e+00,1.621420025825500488e+00,7.999999797903001308e-05
1.553760051727294922e+00,1.621410012245178223e+00,7.999999797903001308e-05
1.554730057716369629e+00,1.621399998664855957e+00,7.999999797903001308e-05
1.555690050125122070e+00,1.621379971504211426e+00,7.999999797903001308e-05
1.556660056114196777e+00,1.621369957923889160e+00,7.999999797903001308e-05
1.557629942893981934e+00,1.621359944343566895e+00,9.000000136438757181e-05
1.558599948883056641e+00,1.621350049972534180e+00,9.000000136438757181e-05
1.559579968452453613e+00,1.621340036392211914e+00,9.000000136438757181e-05
1.560549974441528320e+00,1.621330022811889648e+00,9.000000136438757181e-05
1.561519980430603027e+00,1.621309995651245117e+00,9.000000136438757181e-05
1.562500000000000000e+00,1.621299982070922852e+00,9.000000136438757181e-05
1.563480019569396973e+00,1.621289968490600586e+00,9.000000136438757181e-05
1.564460039138793945e+00,1.621279954910278320e+00,9.000000136438757181e-05
1.565440058708190918e+00,1.621269941329956055e+00,9.000000136438757181e-05
1.566419959068298340e+00,1.621250033378601074e+00,9.000000136438757181e-05
1.567399978637695312e+00,1.621240019798278809e+00,9.000000136438757181e-05
1.568379998207092285e+00,1.621230006217956543e+00,9.000000136438757181e-05
1.569370031356811523e+00,1.621219992637634277e+00,9.000000136438757181e-05
1.570350050926208496e+00,1.621209979057312012e+00,9.000000136438757181e-05
1.571339964866638184e+00,1.621189951896667480e+00,9.000000136438757181e-05
1.572329998016357422e+00,1.621180057525634766e+00,9.000000136438757181e-05
1.573320031166076660e+00,1.621170043945312500e+00,9.000000136438757181e-05
1.574309945106506348e+00,1.621160030364990234e+00,9.000000136438757181e-05
1.575299978256225586e+00,1.621150016784667969e+00,9.000000136438757181e-05
1.576290011405944824e+00,1.621129989624023438e+00,9.000000136438757181e-05
1.577290058135986328e+00,1.621119976043701172e+00,9.000000136438757181e-05
1.578279972076416016e+00,1.621109962463378906e+00,9.000000136438757181e-05
1.579280018806457520e+00,1.621099948883056641e+00,9.000000136438757181e-05
1.580279946327209473e+00,1.621080040931701660e+00,9.000000136438757181e-05
1.581279993057250977e+00,1.621070027351379395e+00,9.000000136438757181e-05
1.582280039787292480e+00,1.621060013771057129e+00,9.000000136438757181e-05
1.583279967308044434e+00,1.621050000190734863e+00,9.000000136438757181e-05
1.584280014038085938e+00,1.621039986610412598e+00,9.000000136438757181e-05
1.585289955139160156e+00,1.621019959449768066e+00,9.000000136438757181e-05
1.586290001869201660e+00,1.621009945869445801e+00,9.000000136438757181e-05
1.587299942970275879e+00,1.621000051498413086e+00,9.000000136438757181e-05
1.588310003280639648e+00,1.620990037918090820e+00,9.000000136438757181e-05
1.589319944381713867e+00,1.620970010757446289e+00,9.000000136438757181e-05
1.590330004692077637e+00,1.620959997177124023e+00,9.000000136438757181e-05
1.591339945793151855e+00,1.620949983596801758e+00,9.000000136438757181e-05
1.592360019683837891e+00,1.620939970016479492e+00,9.000000136438757181e-05
1.593369960784912109e+00,1.620919942855834961e+00,9.000000136438757181e-05
1.594390034675598145e+00,1.620910048484802246e+00,9.000000136438757181e-05
1.595409989356994629e+00,1.620900034904479980e+00,9.000000136438757181e-05
1.596420049667358398e+00,1.620880007743835449e+00,9.000000136438757181e-05
1.597440004348754883e+00,1.620869994163513184e+00,9.000000136438757181e-05
