age;paleo_intensity;sigma;sigma_plus;sigma_minus
0;8.019;0.03;8.049;7.989
200;8.765975;1.1125;9.878475;7.653475
400;9.332;1.546;10.878;7.786
600;9.8244;1.694;11.5184;8.1304
800;10.289075;1.75;12.039075;8.539075
1000;10.685;1.631;12.316;9.054
1200;11.063175;1.52125;12.584425;9.541925
1400;11.1196;1.66;12.7796;9.4596
1600;11.044;1.904;12.948;9.14
1800;11.016825;2.1025;13.119325;8.914325
2000;11.1091;2.179;13.2881;8.9301
2200;11.198225;2.2405;13.438725;8.957725
2400;11.0856;2.224;13.3096;8.8616
2600;10.8904;2.18;13.0704;8.7104
2800;10.77125;2.13775;12.909;8.6335
3000;10.8381;2.09;12.9281;8.7481
3200;10.888;2.03925;12.92725;8.84875
3400;10.366;1.928;12.294;8.438
3600;9.61;1.788;11.398;7.822
3800;9.0502;1.67775;10.72795;7.37245
4000;8.97;1.651;10.621;7.319
4200;8.911625;1.63375;10.545375;7.277875
4400;8.8538;1.612;10.4658;7.2418
4600;8.7098;1.596;10.3058;7.1138
4800;8.4794;1.588;10.0674;6.8914
5000;8.2491;1.58;9.8291;6.6691
5200;8.019375;1.572;9.591375;6.447375
5400;7.7892;1.564;9.3532;6.2252
5600;7.6892;1.488;9.1772;6.2012
5800;7.7196;1.34625;9.06585;6.37335
6000;7.7499;1.21;8.9599;6.5399
6200;7.779625;1.07375;8.853375;6.705875
6400;7.8098;0.932;8.7418;6.8778
6600;7.777;0.896;8.673;6.881
6800;7.681225;0.968;8.649225;6.713225
7000;7.5859;1.041;8.6269;6.5449
7200;7.490025;1.11975;8.609775;6.370275
7400;7.3946;1.194;8.5886;6.2006
7600;7.477;1.33;8.807;6.147
7800;7.737225;1.52775;9.264975;6.209475
8000;7.998;1.72;9.718;6.278
8200;8.258775;1.91225;10.171025;6.346525
8400;8.519;2.11;10.629;6.409
8600;8.6922;2.262;10.9542;6.4302
8800;8.7786;2.36825;11.14685;6.41035
9000;8.865;2.479;11.344;6.386
9200;8.9514;2.584;11.5354;6.3674
9400;9.0378;2.688;11.7258;6.3498
9600;8.9506;2.656;11.6066;6.2946
9800;8.6898;2.488;11.1778;6.2018
10000;8.429;2.319;10.748;6.11
10200;8.184957143;2.118785714;10.303742857;6.066171429
10400;8.309571429;1.362857143;9.672428572;6.946714286
10600;8.493071429;0.5041071429;8.9971785719;7.9889642861
10800;8.2295;0.485;8.7145;7.7445
11000;8.293625;1.05375;9.347375;7.239875
11200;7.532625;1.09125;8.623875;6.441375
11400;7.899;1.0375;8.9365;6.8615
11600;5.916625;0.74625;6.662875;5.170375
11800;7.121375;0.78625;7.907625;6.335125
12000;7.843625;0.80125;8.644875;7.042375
12200;8.2085;0.81;9.0185;7.3985
12400;8.004625;1.08875;9.093375;6.915875
12600;7.90975;0.9775;8.88725;6.93225
12800;7.414875;1.0025;8.417375;6.412375
13000;7.626875;1.03875;8.665625;6.588125
13200;7.424375;1.13625;8.560625;6.288125
13400;6.283875;1.01375;7.297625;5.270125
13600;7.208625;0.98625;8.194875;6.222375
13800;7.302125;0.955;8.257125;6.347125
14000;6.95425;0.87;7.82425;6.08425
14200;7.303875;0.68875;7.992625;6.615125
14400;7.11375;0.68125;7.795;6.4325
14600;7.175125;0.82125;7.996375;6.353875
14800;5.10675;0.9125;6.01925;4.19425
15000;5.096625;0.87375;5.970375;4.222875
15200;6.344125;0.73625;7.080375;5.607875
15400;6.8515;0.705;7.5565;6.1465
15600;6.961375;0.82875;7.790125;6.132625
15800;7.414;0.935;8.349;6.479
16000;7.884125;1.11375;8.997875;6.770375
16200;6.09875;0.93;7.02875;5.16875
16400;6.188;0.76625;6.95425;5.42175
16600;7.717;0.77125;8.48825;6.94575
16800;7.21525;0.78;7.99525;6.43525
17000;6.35225;0.63375;6.986;5.7185
17200;6.2685;0.61375;6.88225;5.65475
17400;6.375625;0.67125;7.046875;5.704375
17600;6.72925;0.6225;7.35175;6.10675
17800;6.5455;0.8075;7.353;5.738
18000;6.79075;0.73625;7.527;6.0545
18200;6.68675;0.65375;7.3405;6.033
18400;6.344875;0.59375;6.938625;5.751125
18600;6.263;0.52625;6.78925;5.73675
18800;6.215;0.5975;6.8125;5.6175
19000;6.038625;0.65375;6.692375;5.384875
19200;6.17875;0.8675;7.04625;5.31125
19400;6.06025;0.8875;6.94775;5.17275
19600;5.800125;0.68625;6.486375;5.113875
19800;5.817553718;0.515751957;6.333305675;5.301801761
20000;5.857487458;0.5077475693;6.3652350273;5.3497398887
20200;5.958094866;0.5576042704;6.5156991364;5.4004905956
20400;5.659165058;0.521939087;6.181104145;5.137225971
