min_begin_diff,reference,start,stop,template
0,2,1,1,ce milieu de nuit de {weekday_m1} à {weekday}
0,2,1,4,cette nuit de {weekday_m1} à {weekday}
0,2,1,7,jusqu'à ce {weekday} en début de matinée
0,2,1,10,jusqu'à ce {weekday} matin
0,2,1,13,jusqu'à ce {weekday} mi-journée
0,2,1,16,jusqu'à ce {weekday} après-midi
0,2,1,19,jusqu'à ce {weekday} soir
0,2,1,22,jusqu'en début de nuit de {weekday} à {weekday_p1}
0,2,1,25,jusqu'en milieu de nuit de {weekday} à {weekday_p1}
0,2,4,4,cette fin de nuit de {weekday_m1} à {weekday}
0,2,4,7,ce {weekday} en début de matinée
0,2,4,10,cette fin de nuit et ce {weekday} matin
0,2,4,13,de cette fin de nuit jusqu’à ce {weekday} mi-journée
0,2,4,16,de cette fin de nuit jusqu’à ce {weekday} après-midi
0,2,4,19,de cette fin de nuit jusqu’à ce {weekday} soir
0,2,4,22,de cette fin de nuit jusqu'en début de nuit de {weekday} à {weekday_p1}
0,2,4,25,de cette fin de nuit jusqu'en milieu de nuit de {weekday} à {weekday_p1}
0,2,4,28,de cette fin de nuit jusqu'en fin de nuit de {weekday} à {weekday_p1}
0,2,7,7,ce {weekday} en début de matinée
0,2,7,10,ce {weekday} matin
0,2,7,13,ce {weekday} matin et mi-journée
0,2,7,16,ce {weekday}
0,2,7,19,ce {weekday} jusqu'en soirée
0,2,7,22,ce {weekday} jusqu'en début de nuit suivante
0,2,7,25,ce {weekday} jusqu'en milieu de nuit suivante
0,2,7,28,ce {weekday} et la nuit suivante
0,2,7,31,ce {weekday} jusqu'à {weekday_p1} en début de matinée
0,2,10,10,ce {weekday} en fin de matinée
0,2,10,13,ce {weekday} mi-journée
0,2,10,16,ce {weekday} en fin de matinée et après-midi
0,2,10,19,ce {weekday} de la fin de matinée jusqu’en soirée
0,2,10,22,ce {weekday} de la fin de matinée jusqu'en début de nuit suivante
0,2,10,25,ce {weekday} matin jusqu'en milieu de nuit suivante
0,2,10,28,de ce {weekday} matin jusqu’à la nuit suivante
0,2,10,31,de ce {weekday} matin jusqu’à {weekday_p1} en début de matinée
0,2,10,34,de ce {weekday} matin jusqu’à {weekday_p1} matin
0,2,13,13,ce {weekday} en milieu de journée
0,2,13,16,ce {weekday} après-midi
0,2,13,19,ce {weekday} de la mi-journée jusqu’en soirée
0,2,13,22,de ce {weekday} après-midi jusqu'en début de nuit suivante
0,2,13,25,de ce {weekday} mi-journée jusqu'en milieu de nuit suivante
0,2,13,28,de ce {weekday} mi-journée jusqu'en fin de nuit suivante
0,2,13,31,de ce {weekday} mi-journée jusqu’à {weekday_p1} en début de matinée
0,2,13,34,de ce {weekday} mi-journée jusqu’à {weekday_p1} matin
0,2,13,37,de ce {weekday} mi-journée jusqu’à {weekday_p1} midi
0,2,16,16,ce {weekday} après-midi
0,2,16,19,ce {weekday} après-midi et soirée
0,2,16,22,de ce {weekday} après-midi jusqu'en début de nuit suivante
0,2,16,25,de ce {weekday} après-midi jusqu'en milieu de nuit suivante
0,2,16,28,de ce {weekday} après-midi jusqu'en fin de nuit suivante
0,2,16,31,de ce {weekday} après-midi jusqu’à {weekday_p1} en début de matinée
0,2,16,34,de ce {weekday} après-midi jusqu’à {weekday_p1} matin
0,2,16,37,de ce {weekday} après-midi jusqu’à {weekday_p1} mi-journée
0,2,16,40,de ce {weekday} après-midi jusqu’à {weekday_p1} après-midi
0,2,19,19,ce {weekday} soir
0,2,19,22,ce {weekday} soir jusqu'en début de nuit
0,2,19,25,ce {weekday} soir et en milieu de nuit
0,2,19,28,ce {weekday} soir jusqu'en fin de nuit
0,2,19,31,de ce {weekday} soir jusqu’à {weekday_p1} en début de matinée
0,2,19,34,de ce {weekday} soir jusqu’à {weekday_p1} matin
0,2,19,37,de ce {weekday} soir jusqu’à {weekday_p1} mi-journée
0,2,19,40,de ce {weekday} soir jusqu’à {weekday_p1} après-midi
0,2,19,43,de ce {weekday} soir jusqu’à {weekday_p1} soir
0,2,22,22,en première partie de nuit de {weekday} à {weekday_p1}
0,2,22,25,en cours de nuit de {weekday} à {weekday_p1}
0,2,22,28,la nuit de {weekday} à {weekday_p1}
0,2,22,31,de la nuit de {weekday} à {weekday_p1} jusqu’à {weekday_p1} en début de matinée
0,2,22,34,la nuit de {weekday} à {weekday_p1} jusqu’à {weekday_p1} matin
0,2,22,37,de la nuit de {weekday} à {weekday_p1} jusqu'à {weekday_p1} mi-journée
0,2,22,40,de la nuit de {weekday} à {weekday_p1} jusqu'à {weekday_p1} après-midi
