0,,,,,Ciel clair
1,,,,,Ciel peu nuageux
2,,,,,Ciel nuageux
3,,,,,Ciel très nuageux
4,,,,,Ciel couvert
5,,,,,Ciel variable
6,,,,,Ciel voilé
0,1,,,,Ciel clair à peu nuageux
0,6,,,,Ciel clair ou voilé
1,"(2, 3)",,,,Ciel changeant
2,3,,,,Ciel nuageux
2,4,,,,Ciel nuageux à couvert
3,4,,,,Ciel très nuageux à couvert
10,,,,,Sable
15,,,,,Trombe
30,,,,,Brume/brouillard {loc|très localisé}
32,,,,,Brouillard {loc|très localisé}
33,,,,,Brouillard dense {loc|très localisé}
38,,,,,Brouillard givrant {loc|très localisé}
39,,,,,Brouillard dense givrant {loc|très localisé}
40,,,,,Pluie {loc|très localisée}
49,,,,,Pluie verglaçante {locVerglas|très localisée}
50,,,,,Pluie {loc|très localisée}
51,,,,,Pluie {loc|très localisée}
52,,,,,Pluie {loc|très localisée}
53,,,,,Pluie forte {loc|très localisée}
58,,,,,Pluie et neige mêlées {locNeige|très localisées}
59,,,,,Pluie verglaçante {locVerglas|très localisée}
60,,,,,Neige {locNeige|très localisée}
61,,,,,Neige {locNeige|très localisée}
62,,,,,Neige {locNeige|très localisée}
63,,,,,Neige forte {locNeige|très localisée}
70,,,,,Averses {loc|très localisées}
71,,,,,Rares averses {loc|très localisées}
77,,,,,Averses de pluie et neige {locNeige|très localisées}
80,,,,,Averses de neige {locNeige|très localisées}
81,,,,,Rares averses de neige {locNeige|très localisées}
84,,,,,Averses de grésil {locOrages|très localisées}
85,,,,,Averses de grêle {locOrages|très localisées}
90,,,,,Orages {locOrages|très localisés}
91,,,,,Orages possibles {locOrages|très localisés}
92,,,,,Averses orageuses {locOrages|très localisées}
93,,,,,Orages {locOrages|très localisés}
97,,,,,Orages avec neige {locOrages|très localisés}
98,,,,,Orages avec grêle {locOrages|très localisés}
99,,,,,Orages violents {locOrages|très localisés}
32,33,,,,"Brouillard, parfois dense {loc|par endroits}"
32,38,,,,"Brouillard, parfois givrant {loc|par endroits}"
32,39,,,,"Brouillard, parfois dense et givrant {loc|par endroits}"
33,38,,,,Brouillard dense ou givrant {loc|par endroits}
33,39,,,,Brouillard dense parfois givrant {loc|par endroits}
38,39,,,,Brouillard givrant parfois dense {loc|par endroits}
30,32,,,,Brouillard {loc|très localisé}
30,33,,,,"Brouillard, parfois dense {loc|par endroits}"
30,38,,,,"Brouillard, parfois givrant {loc|par endroits}"
30,39,,,,"Brouillard, parfois dense et givrant {loc|par endroits}"
40,49,,,,"Pluie {loc|très localisée}, parfois verglaçante {locVerglas|par endroits}"
49,"(50, 51, 52, 53)",,,,"Pluie {loc|très localisée}, parfois verglaçante {locVerglas|par endroits}"
49,59,,,,Précipitations verglaçantes {locVerglas|très localisées}
40,"(50, 51, 52)",,,,Pluie {loc|très localisée}
"(40, 50, 51, 52)",53,,,,"Pluie, parfois forte {loc|par endroits}"
"(50, 51)","(51, 52)",,,,Pluie {loc|très localisée}
"(50, 51, 52, 53)",58,,,,"Pluie, parfois mêlée de neige {locNeige|par endroits}"
"(50, 51, 52, 53)",59,,,,"Pluie {loc|très localisée}, parfois verglaçante {locVerglas|par endroits}"
"(50, 51, 52, 53)","(70, 71)",,,,Passages pluvieux {loc|très localisés}
58,"(60, 61, 62, 63)",,,,Neige {locNeige|très localisée}
"(60, 61)","(61, 62)",,,,Neige {locNeige|très localisée}
"(60, 61, 62)",63,,,,Neige parfois forte {locNeige|par endroits}
"(60, 61, 62, 63)","(80, 81)",,,,Épisodes neigeux {locNeige|très localisés}
70,71,,,,Averses {loc|très localisées}
"(70, 71)",77,,,,"Averses, parfois mêlées de neige {locNeige|par endroits}"
80,81,,,,Averses de neige {locNeige|très localisées}
70,"(80, 81)",,,,"Averses, parfois neigeuses {locNeige|par endroits}"
71,80,,,,"Averses, parfois neigeuses {locNeige|par endroits}"
71,81,,,,"Rares averses, parfois neigeuses {locNeige|par endroits}"
84,85,,,,Averses de grésil ou grêle {locOrages|très localisées}
"(70, 71)",92,,,,"Averses, parfois orageuses {locOrages|par endroits}"
84,92,,,,"Averses de grésil, parfois orageuses {locOrages|par endroits}"
85,92,,,,Averses orageuses avec risque de grêle {locOrages|par endroits}
85,98,,,,Orages et averses avec grêle {locOrages|très localisés}
"(90, 91)",92,,,,Orages et averses orageuses {locOrages|très localisés}
"(90, 91)",93,,,,Orages {locOrages|très localisés}
"(90, 91)",97,,,,"Orages, parfois avec neige {locOrages|par endroits}"
93,98,,,,Orages avec grêle {locOrages|très localisés}
93,99,,,,"Orages, parfois violents {locOrages|par endroits}"
97,99,,,,"Orages, parfois violents avec neige {locOrages|par endroits}"
98,99,,,,Orages violents avec risque de grêle {locOrages|par endroits}
"(50, 51)","(60, 61)",,,,"Précipitations, parfois neigeuses {locNeige|par endroits}"
52,62,,,,"Précipitations, parfois neigeuses {locNeige|par endroits}"
53,63,,,,"Précipitations fortes, parfois neigeuses {locNeige|par endroits}"
"(40, 50, 51, 52, 53)","(80, 81)",,,,"Précipitations, parfois neigeuses {locNeige|par endroits}"
"(40, 50, 51, 52, 53)","(90, 91, 93)",,,,"Pluie, et orages {locOrages|très localisés}"
"(40, 50, 51, 52, 53)",98,,,,"Pluie, et orages avec grêle {locOrages|très localisés}"
"(40, 50, 51, 52, 53)",99,,,,"Pluie, et orages violents {locOrages|très localisés}"
"(60, 61, 62, 63)","(70, 71)",,,,"Précipitations, parfois neigeuses {locNeige|par endroits}"
"(60, 61, 62, 63)","(90, 91, 97)",,,,"Précipitations parfois orageuses {locOrages|par endroits}, et passages neigeux {locNeige|très localisés}"
"(60, 61, 62, 63)",98,,,,"Giboulées orageuses {locOrages|très localisées}, et passages neigeux {locNeige|par endroits}"
"(60, 61, 62, 63)",99,,,,"Orages violents {locOrages|très localisés}, et passages neigeux {locNeige|par endroits}"
"(70, 71)","(90, 91, 93)",,,,"Averses, et orages {locOrages|très localisés}"
"(70, 71)",98,,,,"Averses, et orages avec grêle {locOrages|très localisés}"
"(70, 71)",99,,,,"Averses, et orages violents {locOrages|très localisés}"
"(80, 81)","(90, 91, 97)",,,,"Orages {locOrages|très localisés}, et passages neigeux {locNeige|par endroits}"
"(80, 81)",98,,,,"Giboulées orageuses {locOrages|très localisées}, et passages neigeux {locNeige|par endroits}"
"(80, 81)",99,,,,"Orages violents {locOrages|très localisés}, et passages neigeux {locNeige|par endroits}"
32,33,38,,,"Brouillard, parfois dense ou givrant {loc|par endroits}"
32,33,39,,,"Brouillard, parfois dense et givrant {loc|par endroits}"
32,38,39,,,"Brouillard, parfois givrant et dense {loc|par endroits}"
33,38,39,,,Brouillard dense ou givrant {loc|très localisé}
30,32,33,,,"Brouillard, parfois dense {loc|par endroits}"
30,32,38,,,"Brouillard, parfois givrant {loc|par endroits}"
30,32,39,,,"Brouillard, parfois dense et givrant {loc|par endroits}"
30,33,38,,,Brouillard dense ou givrant {loc|très localisé}
30,33,39,,,Brouillard dense parfois givrant {loc|par endroits}
30,38,39,,,Brouillard givrant parfois dense {loc|par endroits}
"(40, 50, 51)","(50, 51, 52)",53,,,"Pluie, parfois forte {loc|par endroits}"
32,33,38,39,,"Brouillard, parfois dense ou givrant {loc|par endroits}"
30,32,33,38,,"Brouillard, parfois dense ou givrant {loc|par endroits}"
30,32,33,39,,"Brouillard, parfois dense ou givrant {loc|par endroits}"
30,32,38,39,,"Brouillard, parfois givrant et dense {loc|par endroits}"
30,33,38,39,,Brouillard dense ou givrant {loc|très localisé}
"(40, 50)","(50, 51)","(51, 52)",53,,"Pluie, parfois forte {loc|par endroits}"
30,32,33,38,39,"Brouillard, parfois dense ou givrant {loc|par endroits}"
A1,,,,,Pluie {loc|très localisée}
A2,,,,,Neige {locNeige|très localisée}
