tax;steuerklasse;lohnsteuer;rentenvers;arbeitslosvers;krankenvers;privatvers
salary;3;13.16;9.3;1.3;6.25;1.21
salary;4;21.951;9.3;1.3;5.943;1.2789
bonus;3;27.07;9.3;1.2;;
bonus;4;42.01;6.834;0.96;;
