ter	subject_id	subject_label	predicate_id	object_id	object_label	confidence	comment	mapping_justification	mapping_date	creator_id
WTE:Landform	WTE:Plains	Plains	skos:exactMatch	ENVO:00000086	plain	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landform	WTE:hills	Hills	skos:exactMatch	ENVO:00000082	hill range	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landform	WTE:mountains	Mountains	skos:exactMatch	ENVO:00000080	mountain range	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landform	WTE:tablelands	Tablelands	skos:closeMatch	ENVO:00000182	plateau	1	The subject is a related synonym of the object.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Forest	Forest	skos:exactMatch	ENVO:00000111	forested area	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Shrubland	Shrubland	skos:closeMatch	ENVO:00000300	scrubland area	1	The subject is a related synonym of the object.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Grassland	Grassland	skos:exactMatch	ENVO:00000106	grassland area	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Sparsely or Non-vegetated	Sparsely or Non-vegetated	skos:exactMatch	ENVO:01000752	area of barren land	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Cropland	Cropland	skos:exactMatch	ENVO:01000892	area of cropland	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Snow and Ice	Snow and Ice	skos:exactMatch	ENVO:01000746	area of perennial ice or snow	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:Landcover	WTE:Settlement	Settlement	skos:exactMatch	ENVO:01001829	human settlement	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Polar Moist	Polar Moist	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Polar Dry	Polar Dry	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Polar Desert	Polar Desert	skos:narrowMatch	ENVO:01000186	polar desert biome	1	The object is a "polar dessert" and a "biome" which is more specific than "polar dessert" alone.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Boreal Moist	Boreal Moist	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Boreal Dry	Boreal Dry	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Boreal Desert	Boreal Desert	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Cool Temperate Moist	Cool Temperate Moist	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Cool Temperate Dry	Cool Temperate Dry	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Cool Temperate Desert	Cool Temperate Desert	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Warm Temperate Moist	Warm Temperate Moist	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Warm Temperate Dry	Warm Temperate Dry	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Warm Temperate Desert	Warm Temperate Desert	skos:exactMatch	SSSOM:NoMapping		0.8	The subject is not in ENVO.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Subtropical Moist	Subtropical Moist	skos:exactMatch	ENVO:01000377	humid subtropical	0.8	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Subtropical Dry	Subtropical Dry	skos:exactMatch	ENVO:01000378	arid subtropical	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Subtropical Desert	Subtropical Desert	skos:narrowMatch	ENVO:01000184	subtropical desert biome	1	The object is a "subtropical desert" and a "biome" which is more specific than "subtropical desert" alone.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Tropical Moist	Tropical Moist	skos:exactMatch	SSSOM:NoMapping		0.8	The subject cannot be found in the object vocabulary.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Tropical Dry	Tropical Dry	skos:exactMatch	SSSOM:NoMapping		0.8	The subject cannot be found in the object vocabulary.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Climate Region	WTE:Tropical Desert	Tropical Desert	skos:narrowMatch	ENVO:01000183	tropical desert biome	1	The object is a "tropical desert" and a "biome" which is more specific than "tropical desert" alone.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Polar	Polar	skos:exactMatch	ENVO:01000238	polar	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Boreal	Boreal	skos:exactMatch	ENVO:01000251	subpolar	1	Definitions match. "Boreal" is an exact synonym of "subpolar".	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Cool Temperate	Cool Temperate	skos:broadMatch	ENVO:01000206	temperate	1	The object lacks the "cool" qualifier and therefore is a broader concept.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Warm Temperate	Warm Temperate	skos:broadMatch	ENVO:01000206	temperate	1	The object lacks the "warm" qualifier and therefore is a broader concept.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Subtropical	Subtropical	skos:exactMatch	ENVO:01000205	subtropical	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Temperature Domain	WTE:Tropical	Tropical	skos:exactMatch	ENVO:01000204	tropical	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Moisture Domain	WTE:Moist	Moist	skos:exactMatch	ENVO:01000828	humid air	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Moisture Domain	WTE:Dry	Dry	skos:exactMatch	ENVO:01000230	arid	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
WTE:World Moisture Domain	WTE:Desert	Desert	skos:exactMatch	ENVO:01001357	desert	1	Definitions match.	semapv:ManualMappingCuration	2025-02-03	https://orcid.org/0000-0003-2261-9931
