Image,Cell,Position,Intensity
FM,1,0,6
FM,1,1,24.198
FM,1,2,57.008
FM,1,3,109.271
FM,1,4,164.201
FM,1,5,202.242
FM,1,6,205.266
FM,1,7,181.394
FM,1,8,143.793
FM,1,9,112.639
FM,1,10,93.219
FM,1,11,85.991
FM,1,12,82.764
FM,1,13,80.478
FM,1,14,83.661
FM,1,15,90.176
FM,1,16,105.901
FM,1,17,133.282
FM,1,18,164.339
FM,1,19,185.592
FM,1,20,182.722
FM,1,21,153.321
FM,1,22,109.05
FM,1,23,68.151
FM,1,24,40
Phase,1,0,210
Phase,1,1,185.601
Phase,1,2,147.681
Phase,1,3,98.406
Phase,1,4,64.139
Phase,1,5,28.59
Phase,1,6,4.979
Phase,1,7,4.837
Phase,1,8,19.778
Phase,1,9,24.156
Phase,1,10,15.806
Phase,1,11,12.601
Phase,1,12,11.417
Phase,1,13,12.566
Phase,1,14,6.882
Phase,1,15,0
Phase,1,16,0
Phase,1,17,0
Phase,1,18,20.75
Phase,1,19,66.965
Phase,1,20,143.319
Phase,1,21,225.281
Phase,1,22,255
Phase,1,23,255
Phase,1,24,255
FM,2,0,8
FM,2,1,34.228
FM,2,2,79.422
FM,2,3,133.741
FM,2,4,179.745
FM,2,5,203.375
FM,2,6,193.396
FM,2,7,159.103
FM,2,8,122.79
FM,2,9,97.354
FM,2,10,86.331
FM,2,11,81.438
FM,2,12,77.514
FM,2,13,78.306
FM,2,14,78.944
FM,2,15,96.948
FM,2,16,117.185
FM,2,17,148.591
FM,2,18,173.75
FM,2,19,175.44
FM,2,20,155.213
FM,2,21,113.977
FM,2,22,68.604
FM,2,23,40.492
FM,2,24,23
Phase,2,0,177.5
Phase,2,1,159.271
Phase,2,2,120.778
Phase,2,3,73.062
Phase,2,4,46.222
Phase,2,5,32.271
Phase,2,6,14.25
Phase,2,7,8.509
Phase,2,8,13.639
Phase,2,9,15.359
Phase,2,10,11.861
Phase,2,11,4.365
Phase,2,12,10.5
Phase,2,13,11.229
Phase,2,14,0.667
Phase,2,15,1.547
Phase,2,16,1.111
Phase,2,17,3.064
Phase,2,18,43.625
Phase,2,19,79.234
Phase,2,20,159.847
Phase,2,21,237.734
Phase,2,22,255
Phase,2,23,255
Phase,2,24,255
FM,3,0,14.5
FM,3,1,36.667
FM,3,2,76.179
FM,3,3,126.24
FM,3,4,174.043
FM,3,5,196.57
FM,3,6,190.74
FM,3,7,158.866
FM,3,8,122.401
FM,3,9,96.317
FM,3,10,83.521
FM,3,11,77.846
FM,3,12,77.417
FM,3,13,79.172
FM,3,14,80.343
FM,3,15,90.568
FM,3,16,114.454
FM,3,17,144.151
FM,3,18,177.219
FM,3,19,185.128
FM,3,20,166.216
FM,3,21,125.63
FM,3,22,78.335
FM,3,23,40.784
FM,3,24,16.667
Phase,3,0,254.333
Phase,3,1,250.67
Phase,3,2,215.877
Phase,3,3,144.46
Phase,3,4,90.893
Phase,3,5,34.983
Phase,3,6,7.922
Phase,3,7,1.734
Phase,3,8,13.481
Phase,3,9,1.268
Phase,3,10,10.182
Phase,3,11,11.151
Phase,3,12,14.576
Phase,3,13,24.176
Phase,3,14,4.291
Phase,3,15,3.84
Phase,3,16,20.54
Phase,3,17,22.143
Phase,3,18,64.405
Phase,3,19,129.437
Phase,3,20,193.723
Phase,3,21,255
Phase,3,22,255
Phase,3,23,255
Phase,3,24,255
FM,4,0,36
FM,4,1,65.387
FM,4,2,111.854
FM,4,3,161.072
FM,4,4,188.75
FM,4,5,185.897
FM,4,6,158.479
FM,4,7,118.418
FM,4,8,92
FM,4,9,76.457
FM,4,10,73.344
FM,4,11,73.823
FM,4,12,72.646
FM,4,13,75.434
FM,4,14,81.62
FM,4,15,99.587
FM,4,16,133
FM,4,17,170.395
FM,4,18,197.438
FM,4,19,199.883
FM,4,20,160.604
FM,4,21,105.49
FM,4,22,58.062
FM,4,23,23.066
FM,4,24,5.5
Phase,4,0,255
Phase,4,1,255
Phase,4,2,245.484
Phase,4,3,201.367
Phase,4,4,127.875
Phase,4,5,43.647
Phase,4,6,3.391
Phase,4,7,0.245
Phase,4,8,2.667
Phase,4,9,1.836
Phase,4,10,0
Phase,4,11,11.493
Phase,4,12,14.625
Phase,4,13,17.681
Phase,4,14,18.536
Phase,4,15,18.359
Phase,4,16,12.583
Phase,4,17,3.139
Phase,4,18,9.875
Phase,4,19,35.169
Phase,4,20,73.771
Phase,4,21,124.574
Phase,4,22,169.995
Phase,4,23,185.249
Phase,4,24,220
FM,5,0,26.444
FM,5,1,53.953
FM,5,2,95.234
FM,5,3,138.672
FM,5,4,165.525
FM,5,5,169.296
FM,5,6,141.715
FM,5,7,109.956
FM,5,8,82.315
FM,5,9,70.62
FM,5,10,65.861
FM,5,11,63.216
FM,5,12,62.5
