Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Advanced Science
Ca-A Cancer Journal for Clinicians,1154.2,"99.0%
1/415
Oncology",121190,105,94,201.167,145.004,John Wiley & Sons
Nature Reviews Drug Discovery,181.8,"99.0%
1/321
Pharmacology",32182,177,92,23.21,30.506,Springer Nature
Nature Reviews Clinical Oncology,114.5,"99.0%
2/415
Oncology",28505,249,93,14.181,28.675,Springer Nature
Nature Reviews Disease Primers,113.3,"99.0%
1/668
General Medicine",19833,175,83,28.493,17.995,Springer Nature
Nature Reviews Materials,105.5,"99.0%
1/324
Materials Chemistry",28378,269,82,11.021,19.43,Springer Nature
Nature Reviews Cancer,103.8,"99.0%
1/233
Cancer Research",23559,227,83,11.131,24.378,Springer Nature
Chemical Reviews,100.5,"99.0%
1/404
General Chemistry",102753,1022,96,11.092,16.455,American Chemical Society
New England Journal of Medicine,96.4,"99.0%
2/668
General Medicine",216262,2243,79,13.467,19.076,Massachussetts Medical Society
Reviews of Modern Physics,91.1,"99.0%
1/246
General Physics and Astronomy",12021,132,92,16.632,18.08,American Physical Society
The Lancet,87.6,"99.0%
3/668
General Medicine",155575,1776,79,22.724,12.113,Elsevier
IEEE Communications Surveys and Tutorials,86.2,"99.0%
1/970
Electrical and Electronic Engineering",27510,319,97,13.921,14.184,IEEE
Nature Reviews Immunology,84.7,"99.0%
1/240
Immunology",28274,334,78,8.357,17.458,Springer Nature
Nature,78.1,"99.0%
1/200
",390062,4992,94,10.161,18.288,Springer Nature
World Psychiatry,74.0,"99.0%
1/580
Psychiatry and Mental Health",6212,84,98,13.938,18.419,John Wiley & Sons
Chemical Society Reviews,73.2,"99.0%
2/404
General Chemistry",90796,1240,94,7.071,11.467,Royal Society of Chemistry
Nature Energy,73.0,"99.0%
1/297
Renewable Energy, Sustainability and the Environment",39648,543,90,7.32,17.599,Springer Nature
