date,Apple,Amazon,Google,Meta,Microsoft,Netflix
2019-01-01,1.0,1.0,1.0,1.0,1.0,1.0
2019-01-08,1.01399,0.99245,0.97782,1.05317,0.9999,1.05581
2019-01-15,1.0601,1.04093,1.02796,1.08685,1.05536,1.07535
2019-01-22,1.05658,1.00514,1.00158,1.06824,1.02959,1.06444
2019-01-29,1.15764,1.00233,1.06029,1.22601,1.03606,1.11416
2019-02-05,1.14534,0.97637,1.02492,1.20094,1.03126,1.09637
2019-02-12,1.15697,0.98677,1.04236,1.17711,1.06036,1.1317
2019-02-19,1.18284,1.00214,1.03838,1.19247,1.09338,1.15402
2019-02-26,1.19384,1.04091,1.07433,1.21239,1.10464,1.11321
2019-03-05,1.21454,1.02523,1.1005,1.24643,1.11025,1.13801
2019-03-12,1.27646,1.06913,1.10845,1.1624,1.15689,1.15253
2019-03-19,1.28135,1.08883,1.11663,1.20456,1.15777,1.16138
2019-03-26,1.29832,1.11333,1.11797,1.22202,1.17116,1.1637
2019-04-02,1.35847,1.13522,1.12678,1.26715,1.18011,1.1461
2019-04-09,1.35256,1.13216,1.14293,1.30134,1.19113,1.10633
2019-04-16,1.38854,1.15821,1.1689,1.31431,1.2178,1.19661
2019-04-23,1.38909,1.18958,1.20516,1.41094,1.27694,1.17914
2019-04-30,1.41536,1.19702,1.11325,1.40442,1.261,1.20083
2019-05-07,1.26084,1.11854,1.05957,1.31503,1.21376,1.09488
2019-05-14,1.24777,1.14082,1.06595,1.32358,1.24201,1.10392
2019-05-21,1.2197,1.11891,1.06091,1.31155,1.2468,1.12383
2019-05-28,1.18106,1.03877,0.9699,1.18906,1.18359,1.06751
2019-06-04,1.31245,1.14183,1.01122,1.26635,1.30961,1.11629
2019-06-11,1.32138,1.15742,1.02257,1.36914,1.31208,1.11188
2019-06-18,1.35334,1.17452,1.04411,1.39515,1.36077,1.17663
2019-06-25,1.37358,1.17961,1.02767,1.39804,1.34003,1.18792
2019-07-02,1.36315,1.1981,1.04489,1.41804,1.35268,1.19287
2019-07-09,1.39853,1.24024,1.0767,1.47707,1.37184,1.16255
2019-07-16,1.41222,1.21854,1.06522,1.46556,1.36719,0.98503
2019-07-23,1.42899,1.17363,1.16007,1.41934,1.39287,1.05505
2019-07-30,1.31763,1.08323,1.07856,1.31641,1.30576,0.97555
2019-08-06,1.36629,1.09537,1.09951,1.34277,1.34112,0.9857
2019-08-13,1.439,1.11452,1.12173,1.34857,1.367,0.9811
2019-08-20,1.41259,1.08552,1.09407,1.30648,1.34222,0.93543
2019-08-27,1.42799,1.09008,1.11205,1.34495,1.3661,0.93153
2019-09-03,1.46513,1.12387,1.12731,1.36733,1.36273,0.93341
2019-09-10,1.50433,1.10944,1.15248,1.34893,1.35094,0.93325
2019-09-17,1.49626,1.09561,1.15504,1.35328,1.37878,0.84328
2019-09-24,1.53218,1.0653,1.14097,1.28997,1.37769,0.84867
2019-10-01,1.55331,1.0633,1.13037,1.30156,1.35877,0.87036
2019-10-08,1.61358,1.06561,1.13923,1.32763,1.38284,0.90547
2019-10-15,1.64533,1.09583,1.16638,1.37457,1.37175,0.88175
2019-10-22,1.70375,1.09056,1.20742,1.37197,1.42882,0.89383
2019-10-29,1.76155,1.10749,1.20871,1.4105,1.43239,0.92871
2019-11-05,1.79371,1.08723,1.21603,1.37349,1.44785,0.9329
2019-11-12,1.83271,1.0755,1.23616,1.42992,1.48977,0.9595
2019-11-19,1.8277,1.08857,1.22305,1.44723,1.49859,1.00067
2019-11-26,1.81254,1.09333,1.20735,1.44658,1.48698,0.98303
2019-12-03,1.83148,1.07364,1.25756,1.45846,1.50498,0.95928
2019-12-10,1.92027,1.08573,1.27404,1.43368,1.54644,0.9647
2019-12-17,1.94867,1.10033,1.2625,1.49352,1.56513,1.05632
2019-12-24,2.00027,1.1334,1.25061,1.4807,1.56692,1.02527
2019-12-31,2.05708,1.16776,1.30496,1.54002,1.58124,1.06498
2020-01-07,2.17483,1.16066,1.3471,1.60746,1.6235,1.07478
2020-01-14,2.18697,1.14434,1.38563,1.60913,1.66148,1.07715
2020-01-21,2.11987,1.12202,1.34211,1.55646,1.61356,1.08733
2020-01-28,2.11788,1.22994,1.39082,1.4791,1.73387,1.13528
2020-02-04,2.20632,1.30954,1.41211,1.54335,1.87625,1.17673
2020-02-11,2.23494,1.31013,1.42339,1.55147,1.84294,1.20632
2020-02-18,2.05082,1.23306,1.33059,1.45397,1.69917,1.16921
2020-02-25,2.05516,1.1991,1.30019,1.42296,1.72275,1.20838
2020-03-03,1.83067,1.105,1.13775,1.22782,1.50171,1.09878
2020-03-10,1.66587,1.0366,1.01492,1.05766,1.35016,0.94768
2020-03-17,1.54317,1.16773,0.98898,1.0728,1.35575,1.14248
2020-03-24,1.75253,1.20524,1.07341,1.2021,1.59752,1.17638
2020-03-31,1.80522,1.22588,1.11094,1.1992,1.64777,1.20492
2020-04-07,1.87936,1.331,1.13962,1.26614,1.65017,1.25807
2020-04-14,1.90467,1.46891,1.18553,1.29113,1.74538,1.38736
2020-04-21,1.94759,1.45811,1.19421,1.3582,1.73531,1.33627
2020-04-28,2.0163,1.42128,1.24187,1.48685,1.78307,1.35774
2020-05-05,2.16658,1.47836,1.31343,1.54422,1.86183,1.39697
2020-05-12,2.1721,1.48895,1.29535,1.5443,1.84359,1.43521
2020-05-19,2.1992,1.49547,1.32014,1.70163,1.82963,1.36145
2020-05-26,2.21961,1.51643,1.34017,1.6799,1.82793,1.35067
2020-06-02,2.29968,1.54897,1.35401,1.6762,1.88322,1.33028
2020-06-09,2.36541,1.57881,1.32896,1.68417,1.88901,1.34934
2020-06-16,2.47492,1.66542,1.35892,1.73285,2.00529,1.48424
2020-06-23,2.49499,1.6449,1.30567,1.59826,1.984,1.41828
2020-06-30,2.57823,1.87605,1.39996,1.74053,2.10657,1.56596
2020-07-07,2.63381,1.90487,1.4146,1.73126,2.07028,1.66646
