texture,Wpwp_FRACT,porosity,Ksat,expt,quartz,Wcr_FRACT
sand,0.06976744186046512,0.43,9218.4,4.1,0.95,0.13023255813953488
loamy sand,0.14285714285714285,0.42,2608.7999999999997,3.99,0.85,0.25
sandy loam,0.22499999999999998,0.4,1257.6000000000001,4.84,0.69,0.36749999999999994
loam,0.2608695652173913,0.46,950.4,3.79,0.19,0.4869565217391304
silt loam,0.15384615384615385,0.52,2061.6,3.05,0.05,0.37692307692307697
silt,0.32558139534883723,0.43,472.8,5.3,0.41,0.4720930232558139
sandy clay loam,0.4358974358974359,0.39,576.0,8.66,0.61,0.48461538461538456
clay loam,0.4375,0.48,1096.8000000000002,7.48,0.09,0.5249999999999999
silty clay loam,0.45652173913043476,0.46,424.8,8.02,0.25,0.5173913043478261
sandy clay,0.5609756097560976,0.41,285.59999999999997,13.0,0.5,0.5609756097560976
silty clay,0.5102040816326531,0.49,708.0,9.76,0.08,0.5285714285714285
clay,0.574468085106383,0.47,763.2,12.28,0.25,0.574468085106383
