lat,lon,name,ghcnd,cme,description
33.62972,-84.44224,ATL,USW00013874,1,Atlanta Hartsfield
42.36057,-71.00975,BOS,USW00014739,W,Boston Logan
34.19966,-118.36543,BUR,USW00023152,P,Burbank-Glendale-Pasadena
41.96017,-87.93164,ORD,USW00094846,2,Chicago O'Hare
39.04443,-84.67241,CVG,USW00093814,3,Cincinnati (Covington)
32.89744,-97.02196,DFW,USW00003927,5,Dallas-Fort Worth
29.98438,-95.36072,IAH,USW00012960,R,Houston-George Bush
36.07190,-115.16343,LAS,USW00023169,0,Las Vegas McCarran
44.88523,-93.23133,MSP,USW00014922,Q,Minneapolis-StPaul
40.77945,-73.88027,LGA,USW00014732,4,New York La Guardia
39.87326,-75.22681,PHL,USW00013739,6,Philadelphia
45.59578,-122.60919,PDX,USW00024229,7,Portland
38.50659,-121.49604,SAC,USW00023232,S,Sacramento Exec
