wind_speed,V162-5.6,V82-1.65,SWT-2.3-93
0.0,0.0,0.0,0.0
3.0,0.027,0.0,0.0
3.5,0.144,0.01,0.026
4.0,0.289,0.028,0.053
4.5,0.464,0.075,0.1
5.0,0.669,0.144,0.163
5.5,0.919,0.226,0.278
6.0,1.22,0.309,0.393
6.5,1.574,0.41,0.537
7.0,1.99,0.511,0.682
7.5,2.467,0.634,0.86
8.0,3.01,0.758,1.039
8.5,3.617,0.888,1.234
9.0,4.257,1.017,1.43
9.5,4.834,1.151,1.58
10.0,5.256,1.285,1.73
10.5,5.482,1.395,1.885
11.0,5.578,1.504,2.04
11.5,5.598,1.585,2.14
12.0,5.6,1.637,2.241
12.5,5.6,1.648,2.28
13.0,5.6,1.65,2.3
18.5,5.568,1.65,2.3
19.0,5.418,1.65,2.3
19.5,5.179,1.65,2.3
20.0,4.894,1.65,2.3
20.5,4.609,0.0,2.3
21.0,4.329,0.0,2.3
21.5,4.043,0.0,2.3
22.0,3.764,0.0,2.3
22.5,3.488,0.0,2.3
23.0,3.203,0.0,2.3
23.5,2.914,0.0,2.3
24.0,2.616,0.0,2.3
24.5,0.0,0.0,2.3
25.0,0.0,0.0,2.3
25.5,0.0,0.0,0.0
