0,"(2, 3)",,,,Ciel clair devenant nuageux
0,4,,,,Ciel clair se couvrant
0,5,,,,Ciel clair devenant variable
1,4,,,,"Ciel peu nuageux, se couvrant"
1,5,,,,Ciel peu nuageux devenant variable
1,6,,,,Ciel peu nuageux devenant voilé
2,0,,,,Ciel nuageux se dégageant complètement
2,5,,,,Ciel nuageux se dégageant complètement
2,6,,,,Ciel nuageux devenant voilé
3,0,,,,Ciel très nuageux se dégageant complètement
3,5,,,,Ciel très nuageux devenant variable
3,6,,,,Ciel très nuageux devenant voilé
4,"(0, 1)",,,,Ciel couvert se dégageant
4,1,,,,Ciel couvert devenant peu nuageux
4,5,,,,Ciel couvert devenant variable
5,"(0, 1)",,,,Ciel variable se dégageant
5,"(2, 3, 4)",,,,Ciel variable se couvrant
5,6,,,,Ciel variable se voilant
6,1,,,,Ciel voilé devenant peu nuageux
6,2,,,,Ciel voilé devenant nuageux
6,3,,,,Ciel voilé devenant très nuageux
6,4,,,,Ciel voilé se couvrant
6,5,,,,Ciel voilé devenant variable
